id;character;origin_dialogue;translated_dialogue
ASGD027GL;Gloria;Oh, no!;โธ่ ไม่นะ!
ASGD028RA;Raz;What?;อะไรเหรอ?
ASGD029GL;Gloria;This little guy looks terrible.;เจ้าหนูนี่ดูแย่จังเลย
ASGD030GL;Gloria;My oh my. Winter sure was hard on this poor, old garden. I've got a lot of work to do when I get back, eh?;โอ้ ตายจริง หน้าหนาวเล่นงานสวนเก่าๆ ที่น่าสงสารของฉันซะยับเลย กลับไปคราวนี้ฉันคงต้องทำงานหนักหน่อยแล้วสิเนี่ย
ASGD001GL;Gloria;Thank you, all of you! You're all so kind! You make a girl so happy!;ขอบคุณทุกคนมากเลยนะ! ทุกคนใจดีกับฉันมากเลย! ทำให้สาวน้อยคนนี้มีความสุขจริงๆ!
ASGD003GL;Gloria;You must be my new leading man. Aren't you handsome! But my gracious, you're so young! Tell me WHY do they keep casting me with such mere babes? I guess that's the curse of having an eternally young face.;นายนี่คงเป็นพระเอกใหม่ของฉันสินะ หล่อเหลาเอาการเลยนี่! แต่คุณพระช่วย ทำไมนายเด็กจังเลยล่ะเนี่ย? บอกฉันซิ ทำไมพวกเขาถึงชอบให้ฉันเล่นคู่กับเด็กๆ แบบนี้อยู่เรื่อยเลย? ฉันว่านี่คงเป็นคำสาปของการมีใบหน้าที่อ่อนเยาว์ตลอดกาลล่ะมั้ง
ASGD004GL;Gloria;Come, Sweetie! Take a bow! Gloria Von Gouten is not afraid to share the spotlight!;มาเลยจ๊ะ ที่รัก! โค้งคำนับหน่อยสิ! กลอเรีย วอน โกเตน ไม่กลัวที่จะแบ่งแสงสปอตไลท์ให้ใครหรอกนะ!
ASGD012GL;Gloria;It's talent that lands the statues, boy! Come here! Let me show you my award!;มันคือพรสวรรค์ต่างหากล่ะที่ทำให้ได้รางวัลน่ะ นาย! มานี่สิ! เดี๋ยวฉันจะโชว์รางวัลของฉันให้ดู!
ASGD013GL;Gloria;Ahhh!;อ๊า!
ASGD015RA;Raz;Ms. Von Gouton?;คุณ วอน โกเตน?
ASGD022GL;Gloria;What's that, boy? I heard you! You think I'm old, washed-up, a has-been. I'll show you!;อะไรนะ นายว่าไงนะ? ฉันได้ยินหมดแหละ! นายคิดว่าฉันแก่ เป็นพวกตกยุค หมดสภาพแล้วใช่ไหม? ฉันจะทำให้นายเห็น!
ASGD023RA;Raz;Ahhhh!;อ๊า!
ASGD031GL;Gloria;Ah, you decided to take one last curtain call after all! How nice!;อ๊ะ ในที่สุดนายก็ตัดสินใจกลับมารับคำชมรอบสุดท้ายจนได้สินะ! ดีจังเลย!
ASGD032GL;Gloria;I knew you'd return to the stage someday! They all do!;ฉันรู้ว่าสักวันนายน่ะต้องกลับมาที่เวทีอีกครั้ง! พวกเขาก็เป็นกันทั้งนั้นแหละ!
ASGD033GL;Gloria;We've lost some of our best actors to this whole television thing, but I tell you it's just a fad!;เราสูญเสียนักแสดงที่ดีที่สุดไปให้กับเรื่องโทรทัศน์นี่เยอะเลย แต่ฉันบอกเลยนะว่ามันก็แค่กระแสน่ะ!
ASGD034GL;Gloria;Oh, please. It is my policy not to receive gifts from fans, because they already give me so much!;โอ๊ย ไม่ต้องเลย นี่คือนโยบายของฉัน ฉันไม่รับของขวัญจากแฟนคลับ เพราะพวกเขาก็มอบอะไรให้ฉันเยอะมากพอแล้ว!
ASGD035GL;Gloria;Is that for my hair? Thank you, but I bring my own hairdresser to every production.;นี่จะเอามาให้ฉันทำผมเหรอ? ขอบใจนะ แต่ฉันมีช่างทำผมส่วนตัวมาเองทุกงานจ้ะ
ASGD036GL;Gloria;Really! In my day, child, we didn't need props. We acted!;จริงเหรอ! สมัยฉันเด็กๆ พวกเราไม่ต้องใช้พร็อพอะไรเลยนะ พวกเราแสดงเองทั้งนั้น!
ASGD037GL;Gloria;Oh, my robe, how nice of you. Not quite ready to go in yet, though, dear.;โอ้ เสื้อคลุมของฉัน ขอบใจนะ แต่ฉันยังไม่พร้อมที่จะเข้าไปข้างในตอนนี้หรอกจ้ะ ที่รัก
ASGD038GL;Gloria;Oh! Oh, my! What happened? Did I faint again and not notice?;โอ้! โอ้ ตายแล้ว! เกิดอะไรขึ้นเนี่ย? ฉันเป็นลมไปอีกแล้วเหรอเนี่ย แต่ไม่รู้ตัว?
ASGD041GL;Gloria;Please excuse me, but your taking me away from the fans.;ขอโทษนะ แต่การกระทำของนายมันพรากฉันไปจากแฟนๆ นะ
ASGD042GL;Gloria;Oh, pardon me!;โอ้ ขอโทษที!
ASGD043GL;Gloria;You know, a better director wouldn't let us walk on each other like this.;รู้ไหม ผู้กำกับที่ดีกว่านี้คงไม่ปล่อยให้เราเดินชนกันแบบนี้หรอกนะ
ASGD044GL;Gloria;Why, isn't that nice?;ทำไมนายน่ารักอย่างนี้ล่ะ?
ASGD045GL;Gloria;Oooh, that's not very nice.;โอ้ อย่างนี้ไม่น่ารักเลยนะ
ASGD046GL;Gloria;Oh, my no. Not a standing ovation. Please! I don't deserve that! Oh...;โอ๊ย ไม่นะ ไม่ใช่การยืนปรบมือให้เกียรติ ได้โปรด! ฉันไม่สมควรได้รับมันขนาดนั้นหรอก! โอ้...
ASGD047GL;Gloria;Please, don't bother my audience.;ได้โปรด อย่ารบกวนผู้ชมของฉันเลย
ASGD048GL;Gloria;Please don't do that.;ได้โปรดอย่าทำแบบนั้น
ASGD049GL;Gloria;Oh, my! Usher!;โอ้ ตายแล้ว! เจ้าหน้าที่!
ASGD050RA;Raz;I'll talk to her as soon as her performance is over.;เดี๋ยวผมจะคุยกับเธอทันทีที่การแสดงจบลง
ASGD051RA;Raz;This audience is dead. I don't see any green on it anywhere.;คนดูนี่ดับสนิท ผมไม่เห็นสีเขียวๆ เลย
ASBF001ED;Edgar;Yes, go, please. My thoughts are hideous enough to myself. No one should have to suffer them but I.;ใช่ ไปได้เลย ขอร้องล่ะ แค่ความคิดของฉันมันก็น่าขยะแขยงสำหรับฉันมากพอแล้ว ไม่ควรมีใครต้องทนทุกข์กับมันนอกจากฉันอีก
ASBL001RA;Raz;Rrrrrr!;รรรร!
ASBL002LI;Lili;Rrrrr!;รรรร!
ASBL003LI;Lili;Man that lock's tough!;ให้ตาย ล็อคบ้านี่มันแข็งจริงๆ!
ASBL004RA;Raz;Yeah. I think we're definitely going to need Sasha and Milla's help with this one.;ใช่ ผมว่างานนี้เราคงต้องขอความช่วยเหลือจาก ซาช่า ไนน์ กับ มิลล่า แน่นอน
ASBL005LI;Lili;Yeah. You keep saying that.;ใช่ นายพูดแบบนี้มาตลอดเลย
ASBO001BO;Boyd;Ah! Who are you working for?;อ๊ะ! แกทำงานให้ใครกัน?
ASBO002RA;Raz;Wh--uh... I'm with the Psychonauts!;ผะ เอ่อ... ผมอยู่กับ ไซโคนอท!
