id;character;origin_dialogue;translated_dialogue
BBLI001BZ;Bobby;We can't get past this. This is STUPID.;เราไปต่อไม่ได้แล้ว นี่มันโง่ชะมัด!
BBLI002RA;Raz;Hmm. Looks like a test. There's probably a secret, more advanced route.;หืม ดูเหมือนเป็นบททดสอบนะ อาจมีทางลับที่ต้องใช้ทักษะมากกว่านี้
BBLI003BZ;Bobby;What's THAT supposed to mean? You think you're more advanced than me, new kid?;หมายความว่าไง? นี่นายคิดว่านายมีทักษะกว่าฉันงั้นเหรอ เจ้าเด็กใหม่?
BBLI004RA;Raz;Sorry. What?;ขอโทษนะ อะไรนะ?
BBLI005BZ;Bobby;I'm not stupid. You're stupid. The Coach is stupid. The whole camp is stupid. That thing flying at you is stupid!;ฉันไม่ได้โง่ นายสิโง่ โค้ชก็โง่ ค่ายนี้ก็โง่หมด! ไอ้นั่นที่กำลังบินใส่นายก็โง่!
BBLI006RA;Raz;What's flying at me?;อะไรกำลังบินใส่ฉัน?
BBLI007RA;Raz;Wha--;ว้าาาห์?
BBLI008BZ;Bobby;Bobby Zilch's foot, that's what! Ya stupid new kid! Yeah!;เท้าบ๊อบบี้ ซิลช์ นี่แหละ! นายมันไอ้เด็กใหม่หน้าโง่! เย้!
BBLI009BZ;Bobby;Eh, eh-heh! Eh, eh, eh-eh! Eh, eh-eh!;Eh, eh-heh! Eh, eh, eh-eh! Eh, eh-eh!
BBLI010RA;Raz;Waaaahhh-uh!;ว้าาห์?อุ๊ย!
BBLI011RA;Raz;Uh-huh?;Uh-huh?
BBLI012RA;Raz;Oh, heh. Thanks for saving me!;โอ้ เฮ้ ขอบคุณที่ช่วยนะ!
BBLI013LI;Lili;Well, actually, I was saving this plant.;ที่จริงแล้ว ฉันกำลังช่วยต้นไม้นี่ต่างหาก
BBLI014RA;Raz;Huh. Never seen one so meaty before.;หืม ไม่เคยเห็นต้นไม้ที่ดูเหมือนเนื้อแบบนี้มาก่อน
BBLI015LI;Lili;I have. It's been appearing in this creepy nightmare I keep having.;ฉันเคยเห็น มันโผล่มาในฝันร้ายของฉันตลอด
BBLI016RA;Raz;You're having nightmares? Oh, I've been reading about how to fix those! Will you let me see one?;เธอฝันร้ายเหรอ? โอ้ ฉันเคยอ่านวิธีนาย้ฝันร้ายนะ! ขอฉันดูหน่อยได้ไหม?
BBLI017LI;Lili;Hmmm. No.;อืม ไม่เอา
BBVI001RA;Raz;Hello!;สวัสดี!
BBVI002RA;Raz;Hello?;สวัสดี?
BBVI003RA;Raz;Guess I'm early.;ฉันคงมาไวไปสินะ
BBVI004RA;Raz;Hmmm...;Hmmm...
BBVI005CO;Coach;HOLD IT RIGHT THERE, SON!;หยุดอยู่ตรงนั้นแหละ ไอ้หนู!
BBVI006CO;Coach;Now just what in the sam hill do you thing you're doing in there?;นายคิดว่าตัวเองกำลังไปทำอะไรอยู่ในนั้น หา?
BBVI007RA;Raz;I was just looking for a way out.;ผมก็แค่หาทางออก
BBVI008CO;Coach;Oh;โอ้???
BBVI009CO;Coach;You found it!;นายเจอมันแล้ว!
BBVI010RA;Raz;Yeeeh!;Yeeeh!
BBVI011CO;Coach;Sorry about that.;ขอโทษทีนะ
BBVI012CO;Coach;Didn't think you'd get to the end so fast.;ไม่คิดว่านายจะมาถึงเส้นชัยได้เร็วขนาดนี้
BBVI013CO;Coach;Dang! I didn't think you'd get to the end at all!;ให้ตายสิ! ฉันไม่คิดว่านายจะมาถึงเส้นชัยได้ด้วยซ้ำ!
BBVI014CO;Coach;But I'm always glad to see a soldier come back from the field alive.;แต่ฉันก็ดีใจเสมอที่ได้เห็นทหารกลับมาจากสนามรบอย่างปลอดภัย
BBVI015CO;Coach;You surprised me out there, kid.;นายทำให้ฉันประหลาดใจมาก เจ้าหนู
BBVI016CO;Coach;Here. You've earned this.;นี่ นายสมควรได้รับ
BBVI017CO;Coach;Your first PSYCHONAUT MERIT BADGE!;ป้ายทักษะไซโคนอท อันแรกของนาย
BBVI018CO;Coach;Now if you'll excuse me, I gotta go back in.;งั้นขอตัวก่อนนะ ฉันต้องกลับไปข้างใน
BBVI019CO;Coach;I left some good men back there!;ฉันทิ้งมือดีไว้ข้างในนั้น!
BBBI030CO;Coach;Your Mental Health depends on your hustle.;สุขภาพจิตของนายขึ้นอยู่กับความขยันของนายเอง
BBBI031CO;Coach;If you get hurt in this plane, you will lose mental health, and not be able to maintain your projection onto the field of battle.;หากนายได้รับบาดเจ็บในที่แห่งนี้ นายจะสูญเสียสุขภาพจิต และจะไม่สามารถคงสภาพร่างของนายในการรบได้
BBBI032CO;Coach;YOU WILL BE SENT BACK TO THE REAL WORLD DO YOU UNDERSTAND?;นายจะถูกส่งกลับโลกความจริง นายเข้าใจไหม?
BBBI033RA;Raz;Yes sir!;ครับท่าน!
BBBI034CO;Coach;THEN LET'S HIT THIS BEACH!;ถ้าอย่างนั้นก็ไปยึดหาดกันเถอะ!
BBBI035CO;Coach;LET'S TAKE THAT HILL!;มาพิชิตเนินเขาแห่งนี้กันเถอะ!
BBBI036CO;Coach;Let's GO GO GO!!!;ไป ไป ไป!!!
BBBI037RA;Raz;This... rocks.;นี่มัน...หิน
BBBI038CO;Coach;Onward and upward, soldier!;เดินหน้าต่อไป ทหาร!
BBBI039CO;Coach;Go go go!;ไป! ไป! ไป!
BBBI040CO;Coach;It's game day, kid!;มันคือเกมเดย์ ไอ้หนู! 
BBBI041CO;Coach;Move! Move! Move!;ไป! ไป! ไป!
BBBI042CO;Coach;Dang, my BOWELS move more than you do, pokey!;บ้าเอ้ย ลำไส้ฉันยังขยับได้มากกว่านายเลย
BBBI043CO;Coach;You're like molasses goin' uphill in January--with crutches.;นายนี่ช้าอย่างกับกากน้ำตาลที่พยายามไหลขึ้นเขาในเดือนมกรา--พร้อมกับไม้ค้ำจริง ๆ
BBBI044CO;Coach;LESS WAITING, MORE MOTIVATING!;นิ่งให้น้อย วิ่งให้เยอะ !
BBBI045CO;Coach;You'll have plenty of time to stand around when you're dead!;นายจะมีเวลายืนเฉย ๆ เหลือเฟือเลยล่ะ ตอนนายตายไปแล้ว!
BBBI046CO;Coach;Is your name Joey?;นายชื่อ โจอี้ หรือเปล่า?
BBBI047RA;Raz;No!;เปล่า!
BBBI048CO;Coach;"Cuz I'm gonna call ya ""Slowey Joey.""";"เพราะฉันจะเรียกนายว่า ""สโลวี่ โจอี้"""
BBBI049RA;Raz;That's not my name!;นั่นไม่ใช่ชื่อผม!
BBBI051CO;Coach;I can't hear ya! Yer talking too slow!;ฉันไม่ได้ยินอะไรเลย! นายพูดช้าชะมัด!
BBBI052CO;Coach;Ha ha ha!;Ha ha ha!
BBBI053CO;Coach;You hit that ladder hard, son!;นายต้องจัดการบันไดนั่น ไอ้หนู!
BBBI054CO;Coach;Show it who's boss!;แสดงให้มันเห็นว่าใครใหญ่!
BBBI055CO;Coach;Now that kind of wall, you can climb it up, down, sideways, whatever way you want.;ตอนนี้กำแพงแบบนั้น นายสามารถปีนขึ้น ลง ซ้ายขวา หรือทางไหนก็ได้ที่นายต้องการ
BBBI056CO;Coach;Just get on it!;เริ่มกันเลย!
BBBI057CO;Coach;Quick! Like a monkey!;เร็วเข้า! เจ้าจ๋อ!
BBBI058CO;Coach;Ooo! Ooo! Ooo!;Ooo! Ooo! Ooo!
BBBI059CO;Coach;Hold it right there, boy.;หยุดตรงนั้นเลย หนุ่มน้อย
BBBI060CO;Coach;That's a Mental Cobweb.;นั่นคือ หยากไย่จิตใจ
BBBI061CO;Coach;You touch one of them you're in a world of hurt.;นายแตะมัน นายจะตกอยู่ในโลกแห่งความเจ็บปวด
BBBI062CO;Coach;You can collect them with a specialized piece of equipment, once you get checked out on it.;นายสามารถเก็บมันได้ด้วยอุปกรณ์พิเศษ เมื่อนายออกจากที่นี่ได้แล้ว
BBBI063CO;Coach;Until then, just steer clear of 'em.;กว่าจะถึงตอนนั้น ก็แค่เลี่ยงมันไปก่อน
BBBI072CO;Coach;Relax--that's just a figment of my imagination.;ใจเย็น-- มันก็แค่เศษจินตภาพของฉันเท่านั้นเอง
BBBI073CO;Coach;You can run right through figments.;นายสามารถวิ่งผ่านเศษจินตภาพพวกนั้นไปได้
BBBI074CO;Coach;So whenever you see a figment--suck it up, soldier!;ดังนั้นเมื่อนายเห็นเศษจินตภาพเมื่อไร--ดูดมันมาซะ ทหาร!
BBBI075CO;Coach;Come on!;เอาน่าา!
BBBI076CO;Coach;Get that figment!;เก็บเศษจินตภาพนั่นซะ!
BBBI077CO;Coach;Be a figgy piggy!;เจ้าหมูตู้!
BBBI078CO;Coach;Who's Coach's little piggy?;ใครเป็นหมูน้อยของโค้ช?
BBBI079CO;Coach;Oink! Oink! Oink!;อู๊ดๆๆ
BBBI080CO;Coach;As you can see, the trapeze is very difficult.;อย่างที่เห็น การโหนเชือกนั้นยากมาก
BBBI081CO;Coach;Most cadets can't handle it.;นักเรียนส่วนใหญ่ผ่านมันไปไม่ได้
BBBI082CO;Coach;You might just want to stay away from it.;นายอาจจะไม่อยากไปยุ่งกับมัน
BBBI083CO;Coach;You'd still get a participation ribbon at the end of camp...;นายยังคงได้รับริบบิ้นการได้เข้าร่วมในตอนจบค่าย...
BBBI084CO;Coach;Hey, you got on!;เฮ้ นายทำได้!
BBBI086CO;Coach;Hey, where'd you learn how to do that?;เฮ้ นายไปเรียนวิธีทำแบบนั้นมาจากไหน?
BBBI087CO;Coach;Watch those mines, kid.;ดูระเบิดพวกนนั้นสิ เด็กน้อย
BBBI088CO;Coach;They'll blow you up like a ten-cent Kazoo.;มันสามารถเป่านายได้ เหมือนเครื่องเป่าราคาถูกเลยล่ะ
BBBI089CO;Coach;Fire, bad. I have to tell you everything, kid?;ไฟ แย่จัง ฉันต้องบอกนายทุกอย่างเลยไหม เด็กน้อย?
BBBI090CO;Coach;Watch it with the tight rope.;ดูเชือกตึงๆ นั่นสิ
BBBI095CO;Coach;You can grab poles like that and swing on 'em.;นายสามารถคว้าเสาแบบนั้นแล้วนายว่งไปมาได้
BBBI097CO;Coach;It's all about upper body strength, you know.;มันเป็นเรื่องของพลังกายส่วนบนน่ะ นายเข้าใจไหม
BBBI098CO;Coach;Hrrrrrr!;Hrrrrrr!
BBBI101CO;Coach;Gotta keep moving, kid!;ไปต่อซะ ไอ้หนู!
BBBI103RA;Raz;Hey, you guys... need a hand?;เฮ้ พวก... ให้ช่วยไหม?
BBBI111RA;Raz;Hi.;ไง
BBBI112DO;Dogen;Hi! My name's Dogen.;ไง! ฉันโดนนายน
BBBI113RA;Raz;I know!;ฉันรู้น่า!
BBBI114DO;Dogen;Really? How? Can you read minds too?;จริงเหรอ? ได้ไง? นายก็อ่านใจได้เหรอ?
BBBI118RA;Raz;Well, good luck with that! Bye!;ก็ โชคดีนะ บาย!
BBBI119RA;Raz;Follow me! I'll help you through the mines!;ตามฉันมา! ฉันจะช่วยนายผ่านกับระเบิด!
BBBI120DO;Dogen;Mmm-kay.;อืมม เค
BBBI122DO;Dogen;Thanks for helping me.;ขอบใจที่ช่วยฉัน
BBBI123DO;Dogen;Hey, you're cool!;เฮ้ นายเก่งจัง
BBBI124DO;Dogen;Hey, umm, this is for helping me out!;เฮ้ อืมม นี่ก็เพื่อช่วยฉันสินะ!
BBBI125DO;Dogen;Kay. Bye.;เค บาย
BBBI126CO;Coach;Ah, the ol' rolling tunnel of crazy logs bit!;อ้า อุโมงค์ซุงหมุนวนแห่งความบ้าคลั่ง!
BBBI127CO;Coach;An old one but a hard one!;ถึงจะเก่าแต่ก็เก๋า!
BBBI128CO;Coach;What you gotta do is...;สิ่งที่นายต้องทำก็คือ...
BBBI129CO;Coach;Heh heh;Heh heh�
BBBI131CO;Coach;Ah, who we kiddin'?;อ้า เราล้อเล่นกับใครอยู่?
BBBI132CO;Coach;You're never gonna make it through that!;นายไม่มีวันผ่านมันไปได้หรอก!
BBBI133CO;Coach;AH-HA HA HA HA HA!;AH-HA HA HA HA HA!
BBBI134CO;Coach;Mentalis Uber Alles!;จิตใจเหนือทุกสิ่ง!
BBBI135RA;Raz;Yyyyoink!;Yyyyoink!
BBBI136RA;Raz;Ssssp!;Ssssp!
BBBI137RA;Raz;Yyyyyyp!;Yyyyyyp!
BBBI138RA;Raz;Fffffp!;Fffffp!
BBBI139RA;Raz;Rrrrrrrop!;Rrrrrrrop!
BBAB005RA;Raz;So... this is it! The mental world...;งั้น... นี่สินะ! โลกแห่งจิตใจ...
BBAB006EF;Elton;It looks like a dentist office.;ที่นี่เหมือนออฟฟิศหมอฟันเลย
BBAB007RA;Raz;A mental dentist office!;ออฟฟิศหมอฟัน?จิตใจ?
BBAB009CO;Coach;It's a recruiting office, kids, and I'm here to recruit you for the greatest job in the world.;ที่นี่เป็นสำนักงานจัดหางาน เด็ก ๆ รวมถึงตัวฉันมาที่นี่ เพื่อรับสมัครงานที่ยิ่งใหญ่ที่สุดในโลก
BBAB010CO;Coach;Being a Psychonaut.;การเป็น ไซโคนอท
BBAB011CO;Coach;It's about fighting a war for mental freedom!;มันคือการต่อสู้ในสงครามเพื่ออิสรภาพแห่งพลังจิต
BBAB012CO;Coach;Are you ready to face torture, insanity, and death?;นายพร้อมเผชิญกับความเจ็บปวด ความบ้าคลั่ง และความตายหรือยัง ?
BBAB013CO;Coach;Cuz this is your last chance to chicken out!;เพราะนี่จะเป็นโอกาสสุดท้ายสำหรับพวกไก่อ่อน!
BBAB014EF;Elton;Ooh, me sir! I'd like to chicken out, please.;อู้ ผมครับ ผมเป็นไก่อ่อนครับ ได้โปรด
BBAB015CO;Coach;TOO LATE SOLDIER!;สายไปแล้วทหาร!
BBAB016EF;Elton;But you said--;แต่ คุณบอก-
BBAB017CO;Coach;There's only one way out of here: FIGHTING!;ทางเดียวที่จะออกไปจากที่นี่ได้ก็คือ สู้ !
BBAB020CO;Coach;I want one of you chickens to sock me square in the jaw!;ฉันอยากให้ ไก่ที่นายเลี้ยงไว้ ซัดหมัดตรงมาที่กรามฉันเลย!
BBAB022CO;Coach;But I warn you, once you do, the war is on.;แต่ฉันขอเตือนไว้อย่าง เมื่อนายทำแบบนั้น สงครามก็จะเปิดฉาก
BBAC024CO;Coach;I said pop me!;ฉันบอกให้ซัดฉันเลย!
BBAC025CO;Coach;You're not gonna get another chance like this. I guarantee it.;นายไม่มีทางเลือกอื่นหรอก มั่นใจได้เลย
BBAC026CO;Coach;You! Navy boy. Chicken of the sea. C'mon, let's go!;นาย! นาวิกน้อย ไก่อ่อนแห่งทะเล ไม่เอาน่า ไปกัน!
BBAC900CO;Coach;You! Navy boy. Sea chicken. Let's go!;นาย! นาวิกน้อย ไก่ทะเล ไปกัน
BBAC028CO;Coach;How 'bout you, new kid?;นายจะเอาไง เด็กใหม่?
BBAC029CO;Coach;Do it!;เอาสิ!
BBAC030CO;Coach;Let's go!;ไปกันเลย!
BBAC031CO;Coach;Right on the chin.;ซัดมาที่คางนี่
BBAD033CO;Coach;Ah! That's what I'm talking about!;นั่นล่ะ แบบที่ฉันบอก!
BBAD034EF;Elton;Charrrrrrrrgggg--;ลุยยยยยยย--
BBAD036CO;Coach;HAHAHA.;HAHAHA
BBAD037RA;Raz;What kind of obstacle course is this? That kid just got killed!;หลักสูตรข้ามสิ่งกีดขวางแบบไหนกัน? เด็กนั่นเพิ่งถูกฆ่าไปนะ
BBAD038CO;Coach;A MENTAL obstacle course, you bleeding heart!;"หลักสูตรข้ามสิ่งกีดขวางแห่ง""จิตใจ""ยังไงล่ะ นายใจอ่อนเกินไปแล้ว!"
BBAD039CO;Coach;He's not dead. His astral projection just got kicked out of my mind.;เด็กนั้นไม่ได้ตาย จิตของเขาแค่ถูกเตะออกไปจากหัวของฉัน
BBAD040CO;Coach;And I'll kick your ass-tral projection outta here too, if you don't get moving right now!;และฉันก็จะเตะก้นนายด้วย หากนายยังไม่ไปต่อ!
BBAE042RA;Raz;You going to punch him?;นายจะชกเขาไหม?
BBAE043EF;Elton;No way! You do it!;ไม่มีทาง! นายทำสิ!
BBAF045EF;Elton;OW!;OW!
BBAF046CO;Coach;Pick on someone your own size! Or bigger, like me.;ลองนายล้งคนตัวเท่านายดูสิ หรือใหญ่กว่า อย่างฉันไง
BBBI600RA;Raz;Hey, Dogen. What's wrong?;เฮ้ โดนายน เป็นอะไร?
BBBI650RA;Raz;Come on, Dogen! This way!;มาเถอะ โดนายน! ทางนี้!
BBBI601DO;Dogen;I keep blowing up.;ฉันกำลังจะระเบิด
BBBI602DO;Dogen;I can't do it! I can't do it!;ฉันทำไม่ได้! ฉันทำไม่ได้!
BBBI603DO;Dogen;Look! Raz! I didn't explode at all!;ดู! แรซ! ตัวฉันไม่ระเบิดสักส่วน
BBBI604RA;Raz;Good hustle out there.;ดี รีบออกไปจากที่นั่นเถอะ
BBBI605DO;Dogen;Bye.;บาย
BBBK200BZ;Bobby;Yeahhhh. CLASSIC ZILCH!;Yeahhhh CLASSIC ZILCH!
BBBL007CO;Coach;Watch out! Fire down below!;ระวัง! ยิงจากข้างล่าง!
BBBM010EL;Elka;Let... go... of... him.;ปล่อย...เขา...ไป
BBBM011EL;Elka;Let go!;ปล่อย!
BBBM012EL;Elka;This is pathetic.;นี่มันน่าสมเพชมาก
BBBM013EL;Elka;James, tell Chops to let go.;เจมส์ บอกชอปส์ให้ปล่อยได้แล้ว
BBBM014EL;Elka;This is so immature.;นี่มันช่างเด็กจริงๆ
BBBM015CP;Chops;I'm not gonna let JT down, Elka.;ฉันจะไม่ทำให้ JT ผิดหวัง เอลก้า
BBBM016CP;Chops;Okay, Elka. Time to let go.;โอเค เอลก้า ได้เวลาปล่อยแล้ว
BBBM017CP;Chops;Doom, you're offsides. Let go.;ดูม เธอล้ำหน้าไปแล้ว ปล่อยเถอะ
BBBM018CP;Chops;You let go!;เธอ ปล่อย!
BBBM019CP;Chops;Babe, I can hold out all day.;ที่รัก แบบนี้ทั้งวันยังได้
BBBM020JT;J.T.;Ow.;Ow.
BBBM021JT;J.T.;Okay, now let's just make sure we don't all let go at the same time.;เอาล่ะ ตอนนี้ขอให้แน่ใจว่าเราจะไม่ปล่อยมือพร้อมกันหมดนะ
BBBM022JT;J.T.;Say, there, I'm sure there's a compromise we can work out here;บอกเลยนะ ฉันแน่ใจว่าเราตกลงเพื่อหาทางออกกันได้นะ
BBBM023JT;J.T.;Come on partners. It's high noon. One of you's gotta draw.;มาเถอะพวก เที่ยงแล้ว มีใครต้องชักปืนมาดวลกันหรือเปล่า
BBBM024JT;J.T.;Dang. This sure is getting a might uncomfortable.;โอ้ย มันเริ่มจะอึดอัดขึ้นเรื่อยๆ
BBBM025JT;J.T.;I think I've done grown a whole inch taller.;ฉันคิดว่าตัวเองสูงขึ้นมาอีกนิ้วแล้วแหละ
BBBM029JT;J.T.;Yes!;ครับ!
BBBM034JT;J.T.;Ow!;Ow!
BBBM035EL;Elka;Ooof!;Ooof!
BBBM037RA;Raz;That help?;ช่วยไหม?
BBBM040EL;Elka;Beat it!;เอาเลย!
BBBM041CP;Chops;Grrr!;Grrr!
BBBN044RA;Raz;Come on. One nightmare.;เอาน่า ฝันร้ายสักเรื่อง
BBBN045LI;Lili;Nope.;ไม่
BBBN047LI;Lili;Pfffft. You hit like a boy.;Pfffft นายต่อยอย่างกับเด็กผู้หญิง
BBBO049CM;Clem;Hey, look! It's Raz!;เฮ้ ดูสิ! นั่นแรซ!
BBBO050CF;Crystal;Yay! Raz is here!;Yay! แรซมาถึงแล้ว!
BBBO051CM;Clem;Yeah, maybe you'll be able to beat this darn game. We can't do it.;บางทีนายอาจเอาชนะเกมนี้ได้ เราทำไม่ได้น่ะ
BBBO052CF;Crystal;Yeah, we're no good, and the Coach won't open the gate until someone wins.;พวกเรามันไร้ค่าและโค้ชจะไม่เปิดประตูจนกว่าจะมีใครชนะ
BBBO053CM;Clem;Just punch that to start!;แค่ต่อยปุ่มนั่นเพื่อเริ่มเกม!
BBBO055CM;Clem;Go Raz!;เอาเลย แรซ!
BBBO058CO;Coach;You score enough points on this course, kid, and I'll give you a reward!;นายมีแต้มพอสำหรับหลักสูตรนี่แล้ว ไอ้หนู และฉันตบรางวัลให้นาย!
BBBO060CF;Crystal;Yay, Raz!;เย่ แรซ!
BBBO061CF;Crystal;Punch punch punch!;Punch punch punch!
BBBO063CF;Crystal;Punch punchie punch-punch!;Punch punchie punch-punch!
BBBO064CF;Crystal;Punch, Raz, punch!;Punch, แรซ, punch!
BBBO065CF;Crystal;Punnnnnnch! Hurray!;Punnnnnnch! ฮูเร่ย์!
BBBO073CF;Crystal;Oooh, don't punch the good guys!;โอ้ อย่าซัดเด็กดีสิ!
BBBO076CM;Clem;Awwww...;Awwww...
BBBO078CF;Crystal;Hey, it's okay.;เฮ้ ไม่เป็นไร
BBBO079CM;Clem;I'm sure you'll get it, if you try again.;ฉันว่านายทำได้แน่ ถ้าได้ลองอีกครั้งหนึ่ง
BBBO080CF;Crystal;Yeah!;Yeah!
BBBO082CF;Crystal;Try again!;ลองอีกครั้ง!
BBBO083CM;Clem;Try again! Try again! Try again! Try again! Try again! Try again! Hahaha!;อีกครั้ง! อีกครั้ง! อีกครั้ง! อีกครั้ง! อีกครั้ง! อีกครั้ง! Hahaha!
BBBO085CF;Crystal;Hey, not us! Silly!;เฮ้ เราไม่เกี่ยวสิ! เจ้าทึ่ม!
