id;character;origin_dialogue;translated_dialogue
BVCH001LA;Lampita;Matador! Matador! That's the team I'm rooting for!;มาธาดอร์! มาธาดอร์! ทีมนี้แหละที่ฉันเชียร์!
BVCH002LA;Lampita;Yeeeeaaaaahhhh Dingo!;เย้ ดิงโก้!
BVCH003LA;Lampita;Woo-hoo!;วู้ฮู!
BVCH004LA;Lampita;Woo-hoo! C'mon!;วู้ฮู! เอาเลย!
BVCH005LA;Lampita;Wooo! Hahaha!;วู้! ฮ่าๆๆ!
BVCH006LA;Lampita;Let's go Dingo let's go!;เอาเลย ดิงโก้ เอาเลย!
BVCH008LA;Lampita;East and west!;ตะวันออกและตะวันตก!
BVCH009LA;Lampita;He's the best!;เขาเจ๋งที่สุด!
BVCH010LA;Lampita;Diiiiiiiii-ingo!;ดิ้----งโก้!
BVCH011LA;Lampita;Woooo!;วู้!
BVCH012LA;Lampita;Be aggressive! Be-e aggressive!;เอาจริง! เอา--จริง!
BVCH013LA;Lampita;B-e-a-g-g;บี-อี-เอ-จี-จี!
BVCH014LA;Lampita;r-e-s-s-i-v-e!;อาร์-อี-เอส-เอส-ไอ-วี-อี!
BVCH015LA;Lampita;Beeeee aggressive! Woo-hoo!;เอาจริงให้สุด! วู้ฮู!
BVCH016LA;Lampita;Odio! Odio!;โอดีโอ! โอดีโอ!
BVCH017LA;Lampita;Don't be such a dodio!;อย่าทำตัวน่าเบื่อแบบนั้นสิ!
BVCH019LA;Lampita;Go back to the rodeo!;กลับไปขี่ม้าที่งานโรดิโอไป๊!
BVCH020LA;Lampita;Yeah! Wooo!;เย้! วู้!
BVCH021LA;Lampita;Dingo! Dingo! Don't be shy!;ดิงโก้! ดิงโก้! อย่าขี้อาย!
BVCH022LA;Lampita;Stab that bull and make him cry!;แทงกระทิงตัวนั้นแล้วทำให้มันร้องไห้!
BVCH023LA;Lampita;Put that blade right through his skull.;เอาดาบแทงเข้าไปที่กะโหลกของมันเลย
BVCH024LA;Lampita;Murderize that stupid bull!;ฆ่ากระทิงโง่ๆ นั่นเลย!
BVCH025LA;Lampita;Yeah, Seniors! Go Seniors! Wooo!;เย้ รุ่นพี่! เอาเลยรุ่นพี่! วู้!
BVDO001ED;Edgar;Snnnrl! Ooh-ooh-ug.;Snnnrl! Ooh-ooh-ug.
BVDO002RA;Raz;Thought so.;ว่าแล้ว
BVDO003ED;Edgar;Where am I?;ฉันอยู่ที่ไหน?
BVDO004MA;Matador;Thank you for preparing the bull, my humble picador. I shall now finish this beast off easily.;ขอบใจที่เตรียมกระทิงให้ ผู้ช่วยแสนต่ำต้อย ข้าจะปิดบัญชีเจ้าสัตว์ร้ายนี่เอง!
BVDO005RA;Raz;Edgar, listen. There is no El Odio, no Lampita, no Dingo.;เอ็ดการ์ ฟังนะ ไม่มีเอล โอดิโอ ไม่มีแลมพิต้า ไม่มีดิงโก้
BVDO006RA;Raz;They are all just creations of your rage.;ทั้งหมดนั่นเป็นแค่สิ่งที่นายสร้างขึ้นจากความโกรธของนายเอง
BVDO007RA;Raz;You have to let them go or they will torture you forever.;นายต้องปล่อยพวกเขาไปนะ ไม่งั้นพวกเขาจะทรมานนายไปตลอดกาล
BVDO008ED;Edgar;Wha--;อะไรนะ?
BVDO009RA;Raz;That is your romanticized memory of your ex-girlfriend Lana Panzoni, who dumped you for Dean LaGrante way back in high school!;นั่นมันความทรงจำที่สวยหรูเกินจริงของนายเกี่ยวกับแฟนเก่า ลาน่า แพนโซนี่ ที่ทิ้งนายไปคบกับดีน ลากรันเต้ ตั้งแต่สมัยมัธยมแล้ว!
BVDO010RA;Raz;They were both cheerleaders for crying out loud!;พวกนั้นเป็นเชียร์ลีดเดอร์ทั้งคู่เลยนะ!
BVDO011RA;Raz;You can't let the junior varsity pep squad ruin your life!;อย่าปล่อยให้กองเชียร์ตัวสำรองมาทำลายชีวิตของนายเลย!
BVDO012DI;Dingo;"Um, what's up with the ""Junior?""";"เอ่อ ทำไมต้อง ""ตัวสำรอง"" ด้วยอ่ะ?"
BVDO013LA;Lampita;Yeah, we were full-on varsity.;ใช่ เราเป็นตัวจริงต่างหาก
BVDO014DI;Dingo;Gimme a G!;ขอเสียง G
BVDO015LA;Lampita;G!;G!
BVDO016DI;Dingo;Gimme an O!;ขอเสียง O
BVDO017LA;Lampita;O!;O!
BVDO018DI;Dingo;Gimme a B!;ขอเสียง B
BVDO019LA;Lampita;B!;B!
BVDO020DI;Dingo;Gimme a U!;ขอเสียง U
BVDO021LA;Lampita;U!;U!
BVDO022DI;Dingo;Gimme an L!;ขอเสียง L
BVDO023LA;Lampita;L!;L!
BVDO024DI;Dingo;Gimme another L!;ขอเสียง L อีกตัว!
BVDO026DI;Dingo;Gimme an S!;ขอเสียง S
BVDO027LA;Lampita;S!;S!
BVDO028DI;Dingo;What's that spell?;อ่านว่าอะไรนะ?
BVDO029LA;Lampita;Goooooooooo BULLS! Yeah! Wooo!;Goooooooooo BULLS! เย้! วู้!
BVDO031RA;Raz;Edgar, listen. It's your rage that imprisons you, not them.;เอ็ดการ์ ฟังนะ ความโกรธของนายต่างหากที่กักขังนายไว้ ไม่ใช่พวกเขา
BVDO032ED;Edgar;They stole my happiness, my life, the state semi finals, everything!;พวกมันขโมยความสุข ชีวิต รอบรองชนะเลิศระดับรัฐ ทุกสิ่งทุกอย่างของฉันไป!
BVDO033ED;Edgar;Ahhhhhh!;อ๊ากกก!
BVDO034RA;Raz;No, wait! Edgar!;ไม่นะ เดี๋ยว! เอ็ดการ์!
BVDO035LA;Lampita;Olé!;Olé!
BVDO036DI;Dingo;Ha ha ha! He never learns!;ฮ่าๆๆ! ไม่เคยจำเลย!
BVDO037RA;Raz;I guess I have to take this Matador out myself before he does too much damage.;สงสัยฉันคงต้องจัดการมาธาดอร์นี่เอง ก่อนที่เขาจะทำอะไรเสียหายไปมากกว่านี้
BVIN001RA;Raz;That's an impressive house of cards you're building there.;หอคอยไพ่ที่นายกำลังสร้างนี่ น่าประทับใจมาก
BVIN002ED;Edgar;And still... not high enough to reach the sky, and free her from her prison.;แต่ก็ยัง... ไม่สูงพอที่จะถึงฟ้า และช่วยเธอจากคุกได้
