id;character;origin_dialogue;translated_dialogue
CABD001RA;Raz;Dogen! Are you okay? I had the strangest machine-induced dream about you!;โดแกน! นายไม่เป็นไรนะ? ฉันฝันแปลก ๆ เกี่ยวกับนายแล้วก็เครื่องจักร 
CABD002DO;Dogen;TV?;ทีวี?
CABD003RA;Raz;Well, first of all, Sasha Nein invited me down to his SECRET LAB and--;"ก็ ตอนแรก ซาช่า ไนน์ เชิญฉันไปที่ ""ห้องทดลองลับ"" ของเขาและ--"
CABD005RA;Raz;He's completely brainless!;เขาสมองกลวงไปแล้ว!
CABD006RA;Raz;The dream was true!;ความฝันเป็นจริง!
CABD007RA;Raz;Dogen, don't worry. I know where your brains are. They're in... like, this crazy, dream-thorn-bush-straight-jacket-tower place.;โดแกน ไม่ต้องห่วง ฉันรู้ว่าสมองนายอยู่ที่ไหน มันอยู่ที่...ที่เหมือนหอคอย-มีหนาม-ปกคลุม-ในฝัน โครตจะบ้า
CABD008DO;Dogen;Hackey sack?;ก้อนไหมพรม?
CABD009RA;Raz;You go to the TV lounge. I'm on the case. I just need a little more advanced training to prepare?;นายไปห้องทีวีก่อนนะ ฉันจัดการเอง ฉันแค่ต้องฝึกขั้นสูงเพิ่มเติมอีกนิดหน่อยเพื่อเตรียมตัว
CAJI015FO;Ford;You'd better hurry on up there. Morry's already started in on those kids. Can't you hear 'em screaming?;
CAJI016FO;Ford;Nothing like the sound of kids screamin' bloody murder on a hot summer day, eh?;
CALD001RA;Raz;Lili!;ลิลี่!
CALD002LI;Lili;Oh, hey Raz.;โอ้ เฮ้ แรซ
CALD003LI;Lili;Listen, I made you something. It's kind of stupid, but--;ฟังนะ ฉันทำอะไรบางอย่างมาให้ มันอาจดูโง่นะ แต่--
CALD004RA;Raz;They stole Dogen's brains!;พวกนั้นขโมยสมองโดแกนไป!
CALD005LI;Lili;No, he's just like that.;ไม่อ่ะ หมอนั่นก็เป็นแบบนั้นอยู่แล้ว
CALD006RA;Raz;I had a nightmare where this mad scientist guy said he was going to take them out and--;ฉันฝันร้าย เห็นนักวิทยาศาสตร์บ้าบอกว่ากำลังจะเอาสมองไปและ--
CALD007LI;Lili;Was it a creepy-looking freak with a shower cap and a stainless steel, three pronged claw?;เขาเหมือนตัวประหลาดน่าขนลุกสวมหมวกอาบน้ำและมีมือกรงเล็บสแตนเลสสามแฉกหรือเปล่า?
CALD008RA;Raz;Hey! That's MY nightmare!;"เฮ้ นั่นฝันร้ายของ ""ฉัน"" นี่"
CALD009LI;Lili;So it's not just me?;งั้นก็ไม่ได้มีแค่ฉัน
CALD010RA;Raz;But how? And why all the meat?;แต่ ได้ไง? และทำไมถึงมีแต่เนื้อ?
CALD011LI;Lili;I don't know, but I think it's time I find out where this is coming from.;ฉันไม่รู้ แต่ฉันคิดว่ามันถึงเวลาที่ฉันต้องไปหาสาเหตุแล้ว
CALD012RA;Raz;Once I get trained in Levitation I'll be able to see the rest of the nightmare and get more information.; หากฉันฝึกการลอยตัวเสร็จเมื่อไร ฉันจะกลับไปดูฝันร้ายที่เหลือเผื่อจะได้ข้อมูลอะไรมากขึ้น
