id;character;origin_dialogue;translated_dialogue
GLRA041RA;Raz;Ow!;โอ๊ย!
GLRA042RA;Raz;Hey!;เฮ้!
GLRA043RA;Raz;Watch it!;ระวัง!
GLRA045RA;Raz;Ah!;อ๊ะ!
GLRA046RA;Raz;Man!;เวรเอ๊ย!
GLRA048RA;Raz;Ooh ooh ohhhhh...;Ooh ooh ohhhhh...
GLRA049RA;Raz;Hrrr!;Hrrr!
GLRA052RA;Raz;HRRRRRR!;HRRRRRR!
GLRA053RA;Raz;Hmmmpf!;Hmmmpf!
GLRA054RA;Raz;Hp.;Hp.
GLRA055RA;Raz;Hup.;Hup.
GLRA056RA;Raz;Hayup.;Hayup.
GLRA057RA;Raz;Ho.;Ho.
GLRA058RA;Raz;Ha!;ฮ้า!
GLRA059RA;Raz;Hmmmm.;Hmmmm.
GLRA060RA;Raz;Hm-mmm.;Hm-mmm.
GLRA061RA;Raz;Hmm?;หืม?
GLRA062RA;Raz;Ah-ha!;อ๊ะฮ่า!
GLRA063RA;Raz;Heh heh heh!;เหะๆๆ!
GLRA064RA;Raz;Ha ha ha!;ฮ่าๆๆ!
GLRA065RA;Raz;Huh?;หา?
GLRA066RA;Raz;What the--;อะไรวะเนี่ย--
GLRA067RA;Raz;Wooooo-hooooo!;Wooooo-hooooo!
GLRA068RA;Raz;That's strange.;แปลกจัง
GLRA069RA;Raz;That looks a little dangerous.;นั่นดูอันตรายไปหน่อยนะ
GLRA070RA;Raz;I don't like the looks of that.;ไม่ชอบขี้หน้าเจ้านั่นเลย
GLRA071RA;Raz;Uh-oh.;เอ่อ-โอ
GLRA072RA;Raz;Dang.;ซวยแล้ว
GLRA073RA;Raz;That's nasty.;น่าขยะแขยง
GLRA074RA;Raz;Gross.;อี๋
GLRA075RA;Raz;Cool!;สุดยอด!
GLRA076RA;Raz;What ARE those things?;ไอ้พวกนั้นมันตัวอะไรกัน?
GLRA077RA;Raz;I don't think that's going to work.;ฉันว่ามันไม่ได้ผลหรอก
GLRA078RA;Raz;Check it out! I'm invisible!;ดูนี่! ฉันล่องหนได้!
GLRA080RA;Raz;Aaaaaaaaaaaaaaah!;Aaaaaaaaaaaaaaah!
GLRA079RA;Raz;Burn! Buuuuuurn!;ไหม้! ไหม้ไปซะ!
GLRA081RA;Raz;Uh-uh.;อือ-อือ
ASLV001LI;Lili;Rrrr.;Rrrr.
ASLV002RA;Raz;Lili!;ลิลี่!
ASLV003LI;Lili;Grrrr!;Grrrr!
ASLV004LI;Lili;(Gasp!);(ฮะ!)
ASLV005LO;Dr.Loboto;Well, I've reviewed your chart, little girl.;อืม ฉันดูประวัติของเธอแล้วนะ แม่หนูน้อย
ASLV006LO;Dr.Loboto;And the bad news is, we're gonna have to remove your brain;และข่าวร้ายก็คือ เราจะต้องเอาสมองเธอออก...
ASLV007LO;Dr.Loboto;...strap it into an armored battle tank and make it shoot down innocent civilians with its concentrated psychic death beam!;...แล้วเอาไปใส่ในรถถังหุ้มเกราะ สั่งให้มันยิงพลเรือนผู้บริสุทธิ์ด้วยลำแสงพลังจิตสังหาร!
ASLV008LI;Lili;I'm gonna kill you so much.;ฉันจะฆ่าแกให้ตาย
ASLV009LO;Dr.Loboto;The good news is that your insurance is going to cover the whole thing, so--;ข่าวดีก็คือ ประกันของเธอจะจ่ายให้ทั้งหมด เพราะงั้น--
ASLV010LO;Dr.Loboto;Heyyy, is it getting warm in here?;เฮ้ๆ ที่นี่มันร้อนขึ้นรึเปล่าเนี่ย?
ASLV011LI;Lili;No, I'm just trying to set you on fire through this stupid hat!;เปล่า ฉันแค่พยายามจะเผาแกให้เป็นจุณผ่านหมวกโง่ๆ นั่น!
ASLV012LO;Dr.Loboto;What a delightfully mean little brain you have. Just what we want!;สมองน้อยๆ ของเธอ ช่างร้ายกาจจริงๆ อย่างที่เราต้องการเลย!
ASLV013LO;Dr.Loboto;Here, do me a favor. Tell me if you think this smells like... your DOOM! Heh heh.;นี่ ช่วยหน่อยสิ บอกฉันทีว่ากลิ่นนี่มันเหมือน...ความตายของเธอไหม? ฮ่าๆ
ASLV014LI;Lili;(Snotty breathing.);(หายใจติดขัด)
ASLV015LI;Lili;(Sniff sniff.) I can't smell anything.;(ดมๆ) ฉันไม่ได้กลิ่นอะไรเลย
ASLV016LO;Dr.Loboto;Curses!;โธ่เว้ย!
ASLV017LI;Lili;Heh heh.;ฮ่าๆ
ASLV018LO;Dr.Loboto;You're a stubborn little ball of phlegm, ain't ya?;เธอมันก้อนเสมหะดื้อด้านจริงๆ เลยนะ
ASLV019LO;Dr.Loboto;Well, that head cold won't protect you forever, little girl, and when it's gone you'll be sneezing a different tune!;แต่หวัดของเธอปกป้องเธอไม่ได้ตลอดไปหรอก แม่หนูน้อย พอหายดี เธอจะจามออกมาเป็นทำนองเลย!
ASLV020LO;Dr.Loboto;A tune in the key of... BRAINS! Ha ha ha!;ทำนองในคีย์ของ...สมอง! ฮ่าๆๆ!
BBVI005CO;Coach;HOLD IT RIGHT THERE, SON!;หยุดเดี๋ยวนี้นะ ไอ้หนู!
BBVI006CO;Coach;Now just what in the sam hill do you thing you're doing in there?;นายคิดว่าตัวเองกำลังไปทำอะไรอยู่ในนั้น หา?
BBVI007RA;Raz;I was just looking for a way out.;ผมก็แค่หาทางออก
BBVI008CO;Coach;Oh;โอ้...
BBVI011CO;Coach;Sorry about that.;ขอโทษทีแล้วกัน
BBVI012CO;Coach;Didn't think you'd get to the end so fast.;ไม่นึกว่านายจะถึงเส้นชัยได้เร็วขนาดนี้
BBVI013CO;Coach;Dang! I didn't think you'd get to the end at all!;ให้ตายสิ! ฉันไม่คิดว่านายจะถึงเส้นชัยได้ด้วยซ้ำ!
BBVI014CO;Coach;But I'm always glad to see a soldier come back from the field alive.;แต่ฉันก็ดีใจเสมอ ที่ได้เห็นทหารกลับมา จากสนามรบอย่างปลอดภัย
BBVI015CO;Coach;You surprised me out there, kid.;นายทำให้ฉันทึ่งมาก เจ้าหนู
BBVI016CO;Coach;Here. You've earned this.;นี่ นายสมควรได้รับ
BBVI017CO;Coach;Your first PSYCHONAUT MERIT BADGE!;ป้ายทักษะไซโคนอท อันแรกของนาย!
BBVI018CO;Coach;Now if you'll excuse me, I gotta go back in.;ถ้าไม่รังเกียจ ฉันต้องกลับเข้าไปข้างในแล้วล่ะ
BBVI019CO;Coach;I left some good men back there!;ฉันทิ้งมือดีไว้ข้างในนั้น!
LLLV001LF;Linda;Human child.;เด็กมนุษย์
LLLV002RA;Raz;Wha--who is that?;นะ--นั่นใครน่ะ?
LLLV003LF;Linda;It is I, the creature whose spirit was once--;ข้าเอง สิ่งมีชีวิตซึ่งครั้งหนึ่งเคย--
LLLV004LF;Linda;Um, over here. Behind you? Yes.;เอ่อ ทางนี้ ข้างหลังเจ้า? ใช่
LLLV005RA;Raz;Oh.;โอ้
LLLV006LF;Linda;The creature whose spirit was once enslaved by the evil one.;สิ่งมีชีวิตที่ครั้งนึง วิญญาณเคยถูกปีศาจร้ายกักขัง
LLLV007LF;Linda;You have unchained my soul, and now I shall repay you, powerful human child!;เจ้าได้ปลดโซ่ตรวนแห่งวิญญาณของข้า บัดนี้ข้าจะตอบแทนเจ้า เด็กมนุษย์ผู้ทรงพลังเอ๋ย!
LLLV008RA;Raz;Oh, uh... great! Well okay, show me what you did to my friend Lili!;โอ้ เอ่อ...เยี่ยม! โอเค งั้นบอกมา แกทำอะไรกับเพื่อนฉัน ลิลี่!
LLLV009LF;Linda;By the drowned spirit of Oblongata, it is done!;แด่วิญญาณแห่งออบลองกาตาที่จมดิ่ง มันจบแล้ว!
LLLV010RA;Raz;Ah--;อ๊ะ--
MMDD008BO;Boyd;GRAAAAAA!;GRAAAAAA!
SAIN008SA;Sasha;No, as firepower!;ไม่ใช่ เป็นอาวุธ!
SAIN010SA;Sasha;Ahhh, oh, so tacky... I can't... look... directly at it!;โอ้ ช่างเชยสิ้นดี มอง...ตรงๆ...ไม่ได้เลย!
GLRA001RA;Raz;giggle;คิกๆ
GLRA007RA;Raz;Uh-oof.;อ๊ะ-โอ๊ย
GLRA008RA;Raz;Yuh-uhf.;ย๊ะ-อัฟ
GLRA009RA;Raz;Oah;โอ๊ย
GLRA011RA;Raz;Ohh;โอ๊ย
GLRA012RA;Raz;D'oh;D'oh
GLRA013RA;Raz;D'oh!;D'oh!
GLRA030RA;Raz;Who's the man!;ใครน่ะ!
GLRA031RA;Raz;sigh;เฮ้อ
GLRA035RA;Raz;Here we go again.;เรากลับมาอีกแล้ว
GLRA036RA;Raz;Oh boy!;โธ่ พวก!
GLRA037RA;Raz;Sheesh!;โถ่!
GLRA038RA;Raz;electrocution reaction;เสียงถูกไฟฟ้าช็อต
GLEB000RA;Raz;This guy needs a Duffle Bag Tag.;เจ้านี่ต้องมีป้ายติดกระเป๋า
GLEB001RA;Raz;This Hat Box needs a Hat Box Tag.;กล่องหมวกนี้ต้องมีป้ายติดกล่องหมวก
GLEB002RA;Raz;I need the Purse Tag here.;ฉันต้องการป้ายกระเป๋าถือ
GLEB003RA;Raz;I need the Steamer Trunk Tag for this guy.;ฉันต้องการป้ายติดกระเป๋าให้เจ้านี่
GLEB004RA;Raz;Suitcase Tag.  That's what I need here.;ป้ายติดกระเป๋า นั่นแหละที่ฉันต้องการ
ASAH000LF;Linda;What's going on! What's that sound?;เกิดอะไรขึ้น! เสียงอะไรน่ะ?
ASAH001SH;Sheegor;Oh the insane asylum just blew up. But don't worry. Mr. Pokeylope helped me save all the brains before it fell down.;โอ้ โรงพยาบาลบ้าระเบิดน่ะ แต่ไม่ต้องห่วง มิสเตอร์โพคีโลพช่วยฉันเก็บสมองทั้งหมดก่อนมันจะถล่มลงมา
ASAH002LF;Linda;Mr. Pokeylope?;มิสเตอร์โพคีโลพ?
ASAH003LF;Linda;Sam? Is that you? It's me, Linda. From the lake?;แซม? นั่นเจ้ารึ? นี่ข้าเอง ลินดา จากทะเลสาบ?
ASAH004PL;Mr.Pokeylope;Linda. I haven't seen you in ages. You look so... different.;ลินดา ไม่ได้เจอกันนานมาก เธอดู...เปลี่ยนไปนะ
ASAH005LF;Linda;Uh, yeah. I've put on a little weight.;อืม ใช่ ข้าอ้วนขึ้นนิดหน่อย
ASAH006PL;Mr.Pokeylope;Ah, you know I don't mind that onnnnne bit.;อ๋า เธอก็รู้ว่าฉันไม่ว่าอะไรเรื่องนั้นนนนนนเลย
ASAH007LF;Linda;Oh, Sam. You haven't changed at all!;โอ้ แซม เจ้าไม่เปลี่ยนไปเลย!
ASAH008LF;Linda;Ah ha ha!;อ่า ฮ่า ฮ่า!
FINI000CO;Coach;And so, that brings us to the end.;และแล้ว นั่นก็พาเรามาถึงตอนจบ
