id;character;origin_dialogue;translated_dialogue
GLZA053TO;System;/AButton/ Yes.;/AButton/ ใช่
GLZA054TO;System;/AButton/ No.;/AButton/ ไม่
GLZD286TO;System;Use /MovementControls/ and then press /BlackButton/,  /WhiteButton/, or /RightFlipper/ to map the selected power to that button.;ใช้ /MovementControls/ แล้วกด /BlackButton/, /WhiteButton/ หรือ /RightFlipper/ เพื่อกำหนดพลังที่เลือกไว้ให้กับปุ่มนั้น
GLZD287TO;System;To pull out an item from your backpack, point to it with /MovementControls/ and then press /AButton/. To return it to your backpack later, press /BButton/.;ถ้าจะเอาของออกจากกระเป๋า ให้เลื่อน /MovementControls/ ไปที่ของชิ้นนั้นแล้วกด /AButton/ ถ้าจะเก็บของกลับกระเป๋า ให้กด /BButton/
GLZD351TO;System;Please reconnect the controller to controller port;กรุณาเชื่อมต่อคอนโทรลเลอร์เข้ากับพอร์ต
GLZD321TO;System;Drag /FullMouse/ or use Right /Joystick/ TO NAVIGATE.;ลาก /FullMouse/ หรือใช้ /Joystick/ ขวาเพื่อเลื่อนดู
GLZD335TO;System;/AButton/ LOAD;/AButton/ โหลด
GLZD336TO;System;/XButton/ DELETE;/XButton/ ลบ
GLZD338TO;System;/AButton/ SAVE;/AButton/ บันทึก
GLZD347TO;System;"You don't have enough free space to save this profile.
Press /Abutton/ to continue without saving or /Bbutton/ to free more space.";"พื้นที่ไม่พอที่จะบันทึกโปรไฟล์ กด /Abutton/ เพื่อเล่นต่อโดยไม่บันทึก หรือกด /Bbutton/ เพื่อเพิ่มพื้นที่"
GLZD348TO;System;"You don't have enough free space to save games.
Press /Abutton/ to continue without saving or /Bbutton/ to free more space.";"พื้นที่ไม่พอที่จะบันทึกเกม กด /Abutton/ เพื่อเล่นต่อโดยไม่บันทึก หรือกด /Bbutton/ เพื่อเพิ่มพื้นที่"
GLZD356TO;System;/MovementControls/ to SCROLL;ใช้ /MovementControls/ เพื่อเลื่อน
GLZD358TO;System;/BButton/ BACK;/BButton/ กลับ
GLZD434TO;System;Saving preferences.;กำลังบันทึกค่าปรับแต่ง
GLZD435TO;System;Saving AUTOSAVE: POINT OF NO RETURN.;กำลังบันทึก AUTOSAVE: จุดที่ย้อนกลับไม่ได้
GLZD507TO;System;Saving game.;กำลังบันทึกเกม
GLZD560TO;System;Please free;กรุณาเพิ่ม
GLZD561TO;System;more space.;พื้นที่
GLZD573TO;System;Why aren't you pressing /AButton/ ???;ทำไมถึงไม่กด /AButton/ ซะที!!!
GLZD587TO;System;Saving autosave.;กำลังบันทึกอัตโนมัติ
GLZE005TO;System;Use /MovementControls/ to aim your toss.;ใช้ /MovementControls/ เพื่อเล็งตอนขว้าง
GLZG041TO;System;/BButton/ Exit;/BButton/ ออก
GLZE015TO;System;Control speed with /MovementControls/ or use it to change rails when jumping.;ควบคุมความเร็วด้วย /MovementControls/ หรือใช้เปลี่ยนรางตอนกระโดด
GLZG018TO;System;Use /MovementControls/ or /FullMouse/ to navigate the Journal.;ใช้ /MovementControls/ หรือ /FullMouse/ เพื่อดูบันทึก
GLZJ000TO;System;Press /AButton/ to begin.;กด /AButton/ เพื่อเริ่ม
GLZD288TO;System;You have too many items to fit on one page! Use /DPadRight/ to see the rest of your items.;ไอเทมของคุณเยอะเกินกว่าจะใส่ในหน้าเดียวได้หมด ใช้ /DPadRight/ เพื่อดูไอเทมที่เหลือ
GLZD551TO;System;/AButton/ Select;/AButton/ เลือก
GLZG036TO;System;Raz has stowed the item in his backpack. To see what's in Raz's backpack, and what merit badges he has, press the /DPadLeft/ button.;แรซ เก็บของไว้ในกระเป๋าแล้ว ถ้าจะดูว่าในกระเป๋าของ แรซ มีอะไรบ้าง และมี ป้ายทักษะ อะไรบ้าง ให้กดปุ่ม /DPadLeft/
GLPC000TO;System;Move Forward;เดินหน้า
GLPC001TO;System;Move Backward;ถอยหลัง
GLPC002TO;System;Move Left;เดินไปทางซ้าย
GLPC003TO;System;Move Right;เดินไปทางขวา
GLPC004TO;System;Jump;กระโดด
GLPC005TO;System;Attack;โจมตี
GLPC006TO;System;Use;ใช้
GLPC007TO;System;Cancel;ยกเลิก
GLPC008TO;System;LockOn/Float;ล็อคเป้า/ลอยตัว
GLPC009TO;System;PSI Power1;พลัง PSI 1
GLPC010TO;System;PSI Power2;พลัง PSI 2
GLPC011TO;System;PSI Power3;พลัง PSI 3
GLPC012TO;System;Inventory Menu;เมนูไอเทม
GLPC013TO;System;PSI Powers Menu;เมนูพลัง PSI
GLPC014TO;System;First Person View;มุมมองบุคคลที่หนึ่ง
GLPC015TO;System;Journal;บันทึก
GLPC016TO;System;Stats;สถิติ
GLPC017TO;System;Look Up;มองขึ้น
GLPC018TO;System;Look Down;มองลง
GLPC019TO;System;Look Left;มองไปทางซ้าย
GLPC020TO;System;Look Right;มองไปทางขวา
GLPC021TO;System;Type your nickname. Only letters and numbers allowed.;พิมพ์ชื่อเล่น เฉพาะตัวอักษรและตัวเลขเท่านั้น
GLPC022TO;System;Press /Enter/ when done.;กด /Enter/ เมื่อเสร็จ
GLPC023TO;System;Press /Escape/ to cancel.;กด /Escape/ เพื่อยกเลิก
