id;character;origin_dialogue;translated_dialogue
LOIN001LP;Lungfish-Police;Ah, top of the mornin' to ya, ma'am.;อ้า สวัสดียามเช้าครับคุณนาย
LOIN002LY;Lungfish-Madam;And good day to you, Officer O'Lungfish. How are you today?;สวัสดีค่ะ คุณเจ้าหน้าที่โอลุงฟิช วันนี้สบายดีไหมคะ?
LOIN003LP;Lungfish-Police;Oh, damp and happy. Can't complain! And what are you and the wee one up to on this lovely day?;โอ้ สดชื่นสบายดีครับ ไม่ต้องสงสัยเลย! แล้วคุณกับลูกตัวน้อย ทำอะไรกันเหรอครับ วันนี้?
LOIN004LY;Lungfish-Madam;Oh, just obeying the law as always. All posted directives followed to the letter.;โอ้ ก็แค่ทำตามกฎหมายเหมือนเคยค่ะ ปฏิบัติตามคำสั่งทุกข้อ อย่างเคร่งครัด
LOIN005LP;Lungfish-Police;Ah, good to hear! Not a one of us want any trouble that's for sure!;ดีเลยครับ! ไม่มีใครอยากมีปัญหาแน่นอน!
LOIN006LY;Lungfish-Madam;Aaaaahhhhh!!!!;Aaaaahhhhh!!!!
LOIN007LP;Lungfish-Police;Aaaaaahhhh!!!!;Aaaaaahhhh!!!!
LOIN008LR;Lungfish-Resistance;Oh, Goggalor!!!!;โอ้ กอกกาลอร์!!!!
LOVE001CO;Coach;Agggghhh!;Agggghhh!
LOVE002CO;Coach;Fine! Take control of this freaky toad! I don't need him to nab children for me anymore!;เออ! เอาไอ้คางคกประหลาดนี่ไปเลย! ฉันไม่ต้องการให้มันจับเด็กๆ มาให้อีกแล้ว!
LOVE003CO;Coach;I've got the brain of a little girl back in my lab that's strong enough to power a whole army of Psychoblaster Death Tanks!;ในแลปของฉันมีสมองของ เด็กสาวตัวน้อย แข็งแกร่งพอ ที่จะสร้างพลังให้กับ กองทัพรถถังพิฆาต ไซโคบลาสเตอร์ ได้ทั้งกองทัพ!
LOVE004RA;Raz;Why you--heh heh!;ทำไมนาย...เหอะๆ!
LOVE005CO;Coach;Wha--;อะ--
LOVE006RA;Raz;Ha ha ha!;ฮ่า ฮ่า ฮ่า!
LOVE007CO;Coach;What?;อะไร?
LOVE008RA;Raz;You've got the brain of a little girl! Ha ha ha!;นายมีสมองของ เด็กสาวตัวน้อยเลยเหรอ! ฮ่าๆๆ!
LOVE009CO;Coach;I said in my lab!;ฉันบอกว่าอยู่ในแลปของฉันไง!
LOVE010RA;Raz;I think you've got the muscles of a little girl, too.;ฉันว่านายคง มีแรงเท่าเด็กสาวด้วยนะ
LOVE012CO;Coach;Ahhhh! Grrrrr!;Ahhhh! Grrrrr!
LOVE013CO;Coach;Good one!;เยี่ยม!
LOAB005Z1;Zealots-1;Freedom!;อิสรภาพ!
LOAB014Z1;Zealots-1;WOOOOO!;WOOOOO!
LOAB015Z1;Zealots-1;FREEDO--;อิสระ--
LOAB109Z1;Zealots-1;FREEDOM!;อิสรภาพ!
LOCP001LC;Lungfish-Citizen;Ahhhhhhhhh!;Ahhhhhhhhh!
LOCP002LC;Lungfish-Citizen;Kochamara, save us!;โคชามารา ช่วยพวกเราด้วย!
LOCP003LC;Lungfish-Citizen;Where is Kochamara?;โคชามาราอยู่ไหน?
LOCP004LC;Lungfish-Citizen;Ah, my house!;อ๊ะ บ้านของฉัน!
LOCP005LC;Lungfish-Citizen;That's my school! ... Hooray!;นั่นโรงเรียนฉัน! ... เย้!
LOCP006LC;Lungfish-Citizen;Heeeeelllllllp!;ช่วยด้วยยยยย!
LOCP007LC;Lungfish-Citizen;It's Goggalor! Run!;กอกกาลอร์ มาแล้ว! หนีเร็ว!
LOCP008LC;Lungfish-Citizen;Please don't kill me, Goggalor!;ได้โปรดอย่าฆ่าฉันเลย กอกกาลอร์!
LOCP009LC;Lungfish-Citizen;It's Goggalor! He hates children!;กอกกาลอร์มาแล้ว! เขาเกลียดเด็ก!
LOCP010LC;Lungfish-Citizen;Hey everyone, here comes Kochamara! No, wait, it's Goggalor. RUN!;ทุกคน โคชามารามาแล้ว! เดี๋ยวก่อน นั่นมันกอกกาลอร์ หนีเร็ว!
LOCP011LC;Lungfish-Citizen;Bullets don't hurt him!;กระสุนทำอะไรเขาไม่ได้!
LOCP012LC;Lungfish-Citizen;Why, Goggalor, why?;ทำไมกัน กอกกาลอร์ ทำไม?
LOCP013LC;Lungfish-Citizen;Nothing can stop him!;ไม่มีอะไรหยุดเขาได้!
LOCP014LC;Lungfish-Citizen;Where are the police?;ตำรวจไปไหนหมด?
LOCP015LC;Lungfish-Citizen;Go back to your watery hell, Goggalor!;กลับลงนรกน้ำของแกไปซะ กอกกาลอร์!
LOCP017LC;Lungfish-Citizen;I hate you, Goggalor!;ฉันเกลียดแก กอกกาลอร์!
LOCP018LC;Lungfish-Citizen;Nooooooooooo! Not the natural history museum!;ไม่นะ! ไม่เอาน่า พิพิธภัณฑ์ประวัติศาสตร์ธรรมชาติ!
LOCP019LC;Lungfish-Citizen;Oh no, Goggalor's heading for the orphanage!;แย่แล้ว กอกกาลอร์กำลังมุ่งหน้าไปที่สถานเลี้ยงเด็กกำพร้า!
LOCP020LC;Lungfish-Citizen;It's okay everyone. Goggalor missed the orphanage!;ไม่เป็นไรทุกคน กอกกาลอร์พลาดสถานเลี้ยงเด็กกำพร้าไปแล้ว!
LOCP021LC;Lungfish-Citizen;No wait he's still heading for the orphanage!;เดี๋ยวก่อน เขายังมุ่งหน้าไปที่สถานเลี้ยงเด็กกำพร้าอยู่นะ!
LOCP022LC;Lungfish-Citizen;Oh my god, the orphanage!;พระเจ้า สถานเลี้ยงเด็กกำพร้า!
LOCP023LC;Lungfish-Citizen;Hold on--that wasn't the orphanage.;เดี๋ยวก่อน นั่นมันไม่ใช่สถานเลี้ยงเด็กกำพร้า
LOCP024LC;Lungfish-Citizen;Oh no, it was the orphanage--for dogs. It was the puppy orphanage everyone!;แย่แล้ว นั่นมันสถานเลี้ยงเด็กกำพร้า--สำหรับสุนัข สถานเลี้ยงลูกสุนัข ทุกคน!
LOCP025LC;Lungfish-Citizen;No wait--I spoke too fast.;เดี๋ยวก่อน ฉันพูดเร็วไป
LOCP026LC;Lungfish-Citizen;It was just a mattress factory.;มันเป็นแค่โรงงานทำที่นอน
LOCP027LC;Lungfish-Citizen;Okay, that's not too bad.;โอเค ไม่แย่เท่าไหร่
LOCP028LC;Lungfish-Citizen;Ahhhhh, my mattress factory! I'm ruined!;อ๊ากกก โรงงานทำที่นอนของฉัน! ฉันหมดตัวแล้ว!
LOCP029LC;Lungfish-Citizen;I love you Goggalor!;ฉันรักนาย กอกกาลอร์!
LOCP030LC;Lungfish-Citizen;Good lord, he's impervious to bullets and love!;พระเจ้า เขากันกระสุนและความรักได้!
LOCP031LC;Lungfish-Citizen;Why doesn't the Navy electrocute him?;ทำไมกองทัพเรือไม่ช็อตไฟฟ้าเขา?
LOCP032LC;Lungfish-Citizen;I don't want to complain, but Kochamara should do something.;ไม่อยากจะบ่นเลย แต่โคชามาราควรทำอะไรบ้างนะ
LOCP033LC;Lungfish-Citizen;Holy smokes, those goggles are five thousand meters tall!;ให้ตายสิ แว่นตานั่นสูงห้าพันเมตร!
LOCP034LC;Lungfish-Citizen;Oh no. Ohhhhh no. Noooooooo!;ไม่นะ ไม่นะ ไม่นะ!
LOCP035LC;Lungfish-Citizen;You're lucky we can't own guns, Goggalor!;โชคดีนะที่พวกเราไม่มีปืน กอกกาลอร์!
LOCP036LC;Lungfish-Citizen;We've faced monsters like you before, Goggalor, only much smaller.;พวกเราเคยเจอสัตว์ประหลาดแบบแกมาก่อนแล้ว กอกกาลอร์ แค่ตัวเล็กกว่านี้
LOCP037LC;Lungfish-Citizen;My car!;รถฉัน!
LOCP038LC;Lungfish-Citizen;My bait shop!;ร้านขายเหยื่อตกปลาของฉัน!
LOCP039LC;Lungfish-Citizen;My tank!;รถถังของฉัน!
LOCP040LC;Lungfish-Citizen;My cheese shop!;ร้านขายชีสของฉัน!
LOCP041LC;Lungfish-Citizen;My outlet store!;ร้านเอาท์เล็ทของฉัน!
LOCP042LC;Lungfish-Citizen;Gahhhhhhhhh!;Gahhhhhhhhh!
LOZI001Z1;Zealots-1;Hey! Goggalor! Down here!;เฮ้! กอกกาลอร์! ทางนี้!
LOZI002RA;Raz;Excuse me, were you talking to me?;โทษที นายคุยกับฉันเหรอ?
LOZI003Z1;Zealots-1;Ahhhhhh! Owwwww! My ears!;อ้าาาา! โอ๊ยยยย! หูฉัน!
LOZI004RA;Raz;I'm sorry.;โทษที
LOZI005Z1;Zealots-1;Ahhhhhh! Oh my god! Ahhhhhhhh!;อ้าาาา! พระเจ้า! อ้าาาา!
LOZI006RA;Raz;Are you okay?;เป็นอะไรรึเปล่า?
LOZI007Z2;Zealots-2;He's dead!;เขาตายแล้ว!
LOZI008RA;Raz;Oh jeez, I'm sorry.;โอ้ ให้ตาย ฉันขอโทษ
LOZI009Z2;Zealots-2;Don't worry, every member of the resistance is prepared to die fighting the tyranny of Kochamara.;ไม่ต้องห่วง มาชิกกลุ่มต่อต้านทุกคน พร้อมจะตายเพื่อต่อสู้กับทรราช โคชามารา
LOZI010RA;Raz;What's Kochamara?;โคชามารา อะไรนะ?
LOZI011Z2;Zealots-2;He's a giant monster like you, Goggalor. He brainwashed and enslaved almost everyone in Lungfishopolis.;มันเป็นสัตว์ประหลาดยักษ์เหมือนนาย กอกกาลอร์ มันล้างสมองและจับทุกคนใน ลุงฟิชโฮโพลิส เป็นทาส
LOZI012RA;Raz;That stinks. So hey, have you seen any other humans around here? I'm looking for a girl called Lili.;แย่จัง ว่าแต่ นายเห็นคนอื่นแถวนี้บ้างไหม? ฉันกำลังตามหาเด็กผู้หญิงชื่อ ลิลี่ น่ะ
LOZI015Z2;Zealots-2;The government archives might have some information about your young girlfriend, Goggalor.;หอจดหมายเหตุ ของรัฐบาลอาจมีข้อมูล เกี่ยวกับเด็กของนายก็ได้ กอกกาลอร์
LOZI016RA;Raz;I don't know if she's really my girlfriend. I mean, I think she--;ฉันไม่รู้ว่าเธอเป็นแฟนฉันจริงๆ รึเปล่า คือฉันคิดว่าเธอ--
LOZI017Z2;Zealots-2;I only meant that she is your friend who is a girl, Goggalor. To access the archives, we must first destroy the broadcast tower Kochamara uses to control the populace.;ฉันหมายถึงว่า เธอเป็นเพื่อนผู้หญิงของนายต่างหาก กอกกาลอร์ การเข้าถึงหอจดหมายเหตุ เราต้องทำลายหอกระจายเสียงที่ โคชามารา ใช้ในควบคุมชาวเมืองก่อน
LOZI018RA;Raz;Check. I'll go smash that, then.;ตกลง เดี๋ยวฉันไปทุบให้
LOZI019Z2;Zealots-2;Wait, Goggalor! In order to reach the tower, you'll need to pass through that wall of lasers. But you'll never make it through the lasers without our help.;เดี๋ยวก่อน กอกกาลอร์! ถ้าจะไปถึงหอคอย นายต้องผ่านกำแพงเลเซอร์นั่น แต่นายจะผ่านไปไม่ได้ ถ้าไม่มีเราช่วย
LOZI020RA;Raz;So are you gonna start helping soon?;แล้วเมื่อไหร่ พวกนายจะเริ่มช่วย?
LOZI021Z2;Zealots-2;First, I need you to do something for the resistance. Punch a hole in that prison and free my comrades!;ก่อนอื่น ฉันอยากให้นายทำอะไรเพื่อกลุ่มต่อต้าน เจาะรูคุกนั่น และปล่อยพวกพ้องของฉันออกมา!
LOZI025RA;Raz;Hooyah! Now how about getting me past those gates?;ฮูย่า! แล้วจะให้ฉันผ่านประตูพวกนั้นไปได้ยังไง?
LOZI026Z1;Zealots-1;Right. We stole this shield power module from Kochamara. It's too big for any of us to operate, but it should work for you.;ได้เลย พวกเราขโมยโมดูล พลังโล่ นี่มาจาก โคชามารา มันใหญ่เกินไปสำหรับเรา แต่นายน่าจะใช้ได้นะ
LOZI027RA;Raz;Hey, is this gonna upset Kochamara and all your little brainwashed neighbors?;เฮ้ แล้วเรื่องนี้จะทำให้ โคชามารา กับเพื่อนบ้านตัวน้อยที่โดนล้างสมองของพวกนายไม่พอใจรึเปล่า?
LOZI028Z1;Zealots-1;Nooo.;ม่าาาย
LOZI029Z2;Zealots-2;I doubt it.;ไม่น่า
LOZI030Z3;Zealots-3;Uh, no no no.;เอ่อ ไม่ๆๆ
LOZI031RA;Raz;So knocking down the prison and then breaking this laser shield thing--nobody's gonna get mad about that and start shooting at me?;สรุปว่า การพังคุก ทำลายโล่เลเซอร์นี่ จะไม่มีใครโกรธจนไล่ยิงฉันนะ?
LOZI032Z1;Zealots-1;Nooooo!;ไม่มีหรอกก!
LOZI033Z2;Zealots-2;Uhh, maybe one guy would.;อืม อาจจะมีบางคน
LOZI034Z1;Zealots-1;But what is even an entire navy of Lungfish against the might and revolutionary zeal of Goggalor!;แต่ กองทัพเรือปลาปอด จะสู้พลังและความกระหายการปฏิวัติของ กอกกาลอร์ ได้ยังไง!
LOZI035RA;Raz;Wait, what Navy?;เดี๋ยวนะ กองทัพเรืออะไร?
LOZI036Z1;Zealots-1;Meet us at the dam, Goggalor. FOR FREEDOM!;มาเจอกันที่เขื่อน กอกกาลอร์ เพื่ออิสรภาพ!
LOZM003Z1;Zealots-1;Goggalor, come in! We have commandeered these vessels in your name!;กอกกาลอร์ ตอบด้วย! พวกเรายึดเรือพวกนี้ในชื่อของนายแล้ว!
LOZM004Z2;Zealots-2;We can put them in position to help you cross Kochamara Channel, to get to Kochamara Island, and destroy Kochamara Tower!;พวกเราจะวางตำแหน่งให้พวกมันช่วยแกข้ามช่องแคบ โคชามารา ไปยังเกาะ โคชามารา แล้วทำลายหอคอย โคชามารา!
LOZM005Z1;Zealots-1;The thing is that, uh, although you have had SEVERAL excellent plans today, Goggalor... We... Uh;คือว่า ถึงแม้แกจะมีแผนที่ยอดเยี่ยมมากมายในวันนี้ กอกกาลอร์... พวกเรา... เอ่อ...
LOZM006Z2;Zealots-2;Er, we just think it best, uh... to... er uh;เอ่อ พวกเราแค่คิดว่ามันดีที่สุด เอ่อ... ที่จะ... เอ่อ...
LOZM007Z1;Zealots-1;We've decided to maintain our position out here.;พวกเราตัดสินใจที่จะรักษาสถานที่ตรงนี้ไว้
LOZM008Z2;Zealots-2;Just until you clear the area of all hostiles.;จนกว่าแกจะเคลียร์พื้นที่จากศัตรูทั้งหมด
LOZM009Z1;Zealots-1;Yes.;ใช่แล้ว
LOZM010Z2;Zealots-2;For insurance reasons, Goggalor.;เพื่อเหตุผลด้านประกันภัย กอกกาลอร์
LOZM011Z1;Zealots-1;Yes! That, and for Freedom!;ใช่แล้ว! นั่นแหละ และเพื่ออิสรภาพ!
LOZJ001TO;System;Terror in Lungfishopolis;ความน่าสะพรึงกลัวในเมือง ปลาปอด
LOAA001CO;Coach;"The peaceful city of Lungfishopolis is under attack tonight by a hideous, gigantic monster the terrified citizens have named, ""Goggalor.""";"ค่ำคืนนี้ เมือง ปลาปอด อันแสนสงบสุขถูกโจมตีโดยสัตว์ประหลาดขนาดยักษ์ที่น่าเกลียดน่ากลัว ซึ่งพลเมืองที่หวาดกลัวขนานนามมันว่า ""กอกกาลอร์"" "
LOAA002CO;Coach;The navy has responded quickly and decisively, dispatching its entire tank division to neutralize the creature.;กองทัพเรือตอบสนองอย่างรวดเร็วและเด็ดขาด โดยส่งกองพลรถถังทั้งหมดเพื่อกำจัดสัตว์ร้าย
LOAA003CO;Coach;Soon, authorities say, everything will return to normal or better.;ในไม่ช้า ทางการกล่าวว่าทุกอย่างจะกลับสู่สภาวะปกติหรือดีกว่าเดิม
LOAA004CO;Coach;(Kidnapping human children is good.);(การลักพาตัวเด็กมนุษย์เป็นเรื่องดี)
LOZJ000TO;System;Goggalor: On Drugs?;กอกกาลอร์: ติดยา?
LOAD001CO;Coach;Well, things have gotten a little embarrassing for Goggalor. Recently surfaced information has strongly linked the previously intimidating monster with common lowlife criminals.;เอาล่ะ เรื่องราวมันเริ่มน่าอายสำหรับ กอกกาลอร์ ข้อมูลที่เพิ่งเปิดเผยออกมาเชื่อมโยงสัตว์ประหลาดที่น่ากลัวเข้ากับอาชญากรชั้นต่ำทั่วไป
LOAD002CO;Coach;Earlier tonight, Goggalor broke some of his jailhouse cronies out of the slammer so they could enjoy a night on the town, popping pills, and soliciting inexpensive call girls.;เมื่อช่วงหัวค่ำ กอกกาลอร์ พาเพื่อนร่วมคุกของเขาออกมาจากคุก เพื่อให้พวกเขาได้สนุกกับค่ำคืนในเมือง กินยา และว่าจ้างสาวบริการราคาถูก
LOAD003CO;Coach;Well, they're in for one nasty hangover! Our beloved Navy has come up with a high-tech new invention: trucks armed with HYPER-ELECTRICITY!!!;พวกเขาจะต้องเจอกับอาการเมาค้างที่แย่สุดๆ! กองทัพเรือที่รักของเราได้คิดค้นสิ่งประดิษฐ์ใหม่สุดไฮเทค: รถบรรทุกที่ติดตั้ง HYPER-ELECTRICITY!!!
LOAD004CO;Coach;(When kidnapping children, do not harm the brains.);(เมื่อลักพาตัวเด็ก อย่าทำร้ายสมอง)
LOZJ002TO;System;No Quarter from Goggalor;ไม่มีการผ่อนปรนจาก กอกกาลอร์
LOAE001CO;Coach;The destruction and terror continue as the hulking, godless child-beast carves a bloody swath through our helpless city.;การทำลายล้างและความหวาดกลัวยังคงดำเนินต่อไป เมื่ออสูรกายไร้พระเจ้าสร้างรอยเลือดผ่านเมืองที่ไร้ทางสู้ของเรา
LOAE002CO;Coach;Our noble, all-volunteer Navy has been surprised only by the senseless lust for mayhem that seeps from the twisted, black lump of a heart in this creature, still known only as Goggalor.;กองทัพเรืออาสาสมัครที่สูงส่งของเราประหลาดใจเพียงแค่ความกระหายในการทำลายล้างที่ไร้เหตุผล ซึ่งซึมออกมาจากก้อนเนื้อร้ายสีดำในหัวใจของสิ่งมีชีวิตนี้ ซึ่งยังคงรู้จักกันในชื่อ กอกกาลอร์
LOAE003CO;Coach;Though it loathes violence in all its forms, the Navy has no choice but to activate its Anti-Monster Turrets, which it guarantees are 100% monster proof.;ถึงแม้ว่ามันจะรังเกียจความรุนแรงในทุกรูปแบบ แต่กองทัพเรือก็ไม่มีทางเลือกอื่นนอกจากเปิดใช้งานป้อมปืนต่อต้านสัตว์ประหลาด ซึ่งรับประกันว่าป้องกันสัตว์ประหลาดได้ 100%
LOAE004CO;Coach;(Do not get caught stealing children.);(อย่าถูกจับได้ว่าขโมยเด็ก)
LOZJ003TO;System;Famous Child Star Hates Goggalor;ดาราเด็กชื่อดังเกลียด กอกกาลอร์
LOAF001CO;Coach;"We're here with the star of the popular sitcom, ""Trouble in the Bubble,"" Buddy Finn. ";"เรามาอยู่ที่นี่กับดาราจากซิทคอมยอดนิยม ""Trouble in the Bubble"" บัดดี้ ฟินน์"
LOAF002CO;Coach;Buddy, what's your take on the Goggalor situation? Is he just misunderstood? ;บัดดี้ นายคิดยังไงกับสถานการณ์ กอกกาลอร์? เขาแค่ถูกเข้าใจผิดรึเปล่า?
LOAF003CO;Coach;No way! I hate Goggalor! I can't imagine any one of my fans siding with the monster. He hates everything Lungfish care about--;ไม่มีทาง! ผมเกลียด กอกกาลอร์! ผมนึกไม่ออกเลยว่าแฟนๆ ของผมจะเข้าข้างสัตว์ประหลาดตัวนั้น เขาเกลียดทุกสิ่งที่ชาว ปลาปอด ห่วงใย--
LOAF004CO;Coach;Air, water, family, the economy...;อากาศ น้ำ ครอบครัว เศรษฐกิจ...
LOAF005CO;Coach;Buddy, you'll be happy to know that the Navy has decided to pull out what they're most famous for: ;บัดดี้ นายคงจะดีใจที่รู้ว่ากองทัพเรือตัดสินใจที่จะนำสิ่งที่พวกเขามีชื่อเสียงที่สุดออกมาใช้:
LOAF007CO;Coach;So, rest assured, we can all look forward to Goggalor's imminent death, and to seeing you, Buddy, every Thursday night at eight, right here on LBC!;ดังนั้น ขอให้มั่นใจได้เลยว่าเราทุกคนสามารถตั้งตารอความตายที่ใกล้เข้ามาของ กอกกาลอร์ และรอพบกับนาย บัดดี้ ทุกคืนวันพฤหัสบดี เวลาสองทุ่ม ที่นี่ LBC!
LOAF008CO;Coach;Thanks, and I'd just like to add that if anyone kidnaps a human child they should take them quickly under the lake to the abandoned insane asylum.;ขอบคุณครับ และผมแค่อยากจะเสริมว่าถ้าใครลักพาตัวเด็กมนุษย์ พวกเขาควรพาพวกเขาไปที่โรงพยาบาลบ้าที่ถูกทิ้งร้างใต้ทะเลสาบอย่างรวดเร็ว
LOZJ004TO;System;The End is Nigh;จุดจบใกล้เข้ามาแล้ว
LOAG001CO;Coach;Well, we're sorry to report that the miserable and incompetent Lungfish Navy is all but sunk.;เอาล่ะ พวกเราเสียใจที่จะรายงานว่ากองทัพเรือ ปลาปอด ที่น่าสมเพชและไร้ความสามารถ จมลงเกือบหมดแล้ว
LOAG002CO;Coach;Great work, losers!;เยี่ยมมาก พวกขี้แพ้!
LOAG003CO;Coach;Now Kochamara himself will have to come all the way down here just to save our worthless hides. ;ตอนนี้ โคชามารา จะต้องลงมาที่นี่ด้วยตัวเองเพื่อช่วยชีวิตพวกเราที่ไร้ค่า
LOAG004CO;Coach;Authorities are calling for a big parade in Kochamara's honor after he clobbers the annoying giant Goggalor, and if the parade is big enough, Kochamara promises NOT to destroy the city.;ทางการเรียกร้องให้มีการจัดขบวนพาเหรดใหญ่เพื่อเป็นเกียรติแก่ โคชามารา หลังจากที่เขาจัดการเจ้า กอกกาลอร์ ยักษ์ที่น่ารำคาญ และถ้าขบวนพาเหรดใหญ่พอ โคชามารา สัญญว่าจะไม่ทำลายเมือง
LOAG005CO;Coach;(Brush teeth more often. Don't drool so much.);(แปรงฟันบ่อยๆ อย่าทำน้ำลายไหลเยอะ)
LOAH000Z1;Zealots-1;Goggalor, what are you doing down here?;กอกกาลอร์ แกทำอะไรอยู่ตรงนี้?
LOAH001RA;Raz;I'm trying to get to that Kochamara Tower thing so I can smash it.;ฉันจะไปที่หอคอย โคชามารา นั่น เพื่อทุบมัน
LOAH002Z1;Zealots-1;The laser tunnel, Goggalor. We have to get through that or we'll never get to Kochamara Island!;อุโมงค์เลเซอร์ กอกกาลอร์ พวกเราต้องผ่านมันไปให้ได้ ไม่งั้นจะไม่มีทางไปถึงเกาะ โคชามารา!
LOAH003RA;Raz;But I thought--;แต่ฉันนึกว่า--
LOAH004Z1;Zealots-1;"There is no ""I"" in team, Goggalor!";"ในคำว่า ""ทีม"" ไม่มีคำว่า ""ฉัน"" นะ กอกกาลอร์!"
LOAH005RA;Raz;"Yeah, but there's an ""I"" in ""squish"" so watch it.";"ใช่ แต่ในคำว่า ""บี้แบน"" มี ""ฉัน"" นะ ระวังตัวด้วย"
LOAH006RA;Raz;I'll go take out your laser tunnel, but then we're going to talk about who's running this revolution.;ฉันจะไปจัดการอุโมงค์เลเซอร์ให้ แต่หลังจากนั้นเราต้องคุยกันว่าใครเป็นคนนำการปฏิวัติครั้งนี้
LOAI000Z1;Zealots-1;Goggalor! Another jail to smash! Take it out and free the prisoners, Goggalor!;กอกกาลอร์! มีคุกอีกแล้ว ทุบมัน แล้วช่วยนักโทษออกมา กอกกาลอร์!
LOAI002Z4;Zealots-4;So this big monster, is that the best you could do?;สัตว์ประหลาดยักษ์นี่เหรอ? นี่ดีที่สุดที่พวกแกหามาได้แล้วเหรอ?
LOAI003Z1;Zealots-1;We were short on time, and he is good at smashing things!;เวลามีน้อย แล้วเขาก็เก่งเรื่องทุบทำลาย!
LOAI004Z4;Zealots-4;Doesn't look like much to me. Come on, let's blow this joint.;ดูไม่เห็นมีอะไรเลย ไปกันเถอะ ไปจากที่นี่
LOAI005RA;Raz;Hey, you're welcome!;เฮ้ ไม่ต้องขอบคุณฉันก็ได้!
LOAI006Z1;Zealots-1;Sorry about him, Goggalor. He's been in prison a long time.;ขอโทษแทนเขาด้วยนะ กอกกาลอร์ เขาอยู่ในคุกมานาน
LOAI007Z1;Zealots-1;He's the only pilot the resistance has, and he has an excellent plan! ;เขาเป็นนักบินคนเดียวของกลุ่มต่อต้าน และเขามีแผนที่ยอดเยี่ยม!
LOAI008Z1;Zealots-1;Meet us at the dam so we can put it into action!;มาเจอกันที่เขื่อน เพื่อที่เราจะได้เริ่มแผน!
LOAI009Z1;Zealots-1;Ha! Now you see the genius of our plan, Goggalor!;ฮ่า! ตอนนี้แกคงเห็นความอัจฉริยะของแผนพวกเราแล้วสินะ กอกกาลอร์!
LOAI010Z4;Zealots-4;First, we print flyers. Then we spread them all over town with my blimp!;ก่อนอื่น เราจะพิมพ์ใบปลิว แล้วก็เอาไปโปรยทั่วเมืองด้วยเรือเหาะของฉัน!
LOAI011Z1;Zealots-1;Winning over the hearts and minds of Lungfishopolis in as soon as six months.;ชนะใจชาวเมือง ปลาปอด ได้ในเวลาแค่หกเดือน
