id;character;origin_dialogue;translated_dialogue
MCAB001RA;Raz;Coach Oleander?;โค้ชโอลีแอนเดอร์?
MCAB003OL;Oly;He runs a butcher shop. He wants to make food out of them.;เขาเปิดร้านขายเนื้อ เขาอยากจะเอาพวกมันไปทำอาหาร
MCAB004FO;Ford;That's right. Morry's old man was a butcher! It looks like your childhood memories of the circus got all mixed up with his childhood memories of his dad's butcher shop.;ใช่แล้ว พ่อของมอร์รี่เป็นคนขายเนื้อ! ดูเหมือนว่าความทรงจำวัยเด็กของนายเกี่ยวกับคณะละครสัตว์จะผสมปนเปกับความทรงจำวัยเด็กของเขาเกี่ยวกับร้านขายเนื้อของพ่อ
MCAB005RA;Raz;My memories were bad enough. This is just gross.;แค่ความทรงจำของผมก็แย่พอแล้ว นี่มันน่าขยะแขยง
MCAB006RA;Raz;Uh oh.;เอ่อ โอ
MCAB007FO;Ford;You'd better keep that kid out of trouble.;นายต้องดูแลไม่ให้เด็กคนนั้นก่อเรื่องนะ
MCAB008FO;Ford;With your brains all scrambled like this, what happens to him, happens to you!;ถ้านายสมองปั่นป่วนแบบนี้ เกิดอะไรขึ้นกับเขา ก็จะเกิดกับนายด้วย!
MCAB009OL;Oly;Ahhh! Help!;อ๊าก! ช่วยด้วย!
MCAC002OL;Oly;Come here, little bunny!;มานี่สิ กระต่ายน้อย!
MCAC005OL;Oly;Don't run or else Daddy's gonna kill you.;อย่าหนีนะ ไม่งั้นพ่อจะฆ่านาย
MCAC006OL;Oly;Buuuuuunnnneeeeee!;กระต่ายยยยย!
MCAC007OL;Oly;Bun-bun-bun!;กระต่าย กระต่าย กระต่าย!
MCAC008OL;Oly;Please, Mr. Bun!;ได้โปรด มิสเตอร์บัน!
MCBI004RA;Raz;Hey, hey. Little Oly!;เฮ้ ๆ โอลี้น้อย!
MCBI005RA;Raz;It's okay, those monsters are gone now.;ไม่เป็นไร สัตว์ประหลาดพวกนั้นหายไปแล้ว
MCBI009RA;Raz;Who's coming?;ใครกำลังมา?
MCBI011RA;Raz;Your dad... the butcher?;พ่อนาย...คนขายเนื้ออะเหรอ?
MCBI012OL;Oly;He says little bunnies are good for nothing.;พ่อบอกว่า พวกกระต่ายตัวน้อยมันไร้ประโยชน์
MCBI013OL;Oly;Nothing but food!;เป็นได้แค่อาหาร!
MCBI015OL;Oly;Ahhhhhhhhhhhh!;อ้าาาาาาาา!
MCBI016BU;Butcher;DON'T RUN OR ELSE DADDY'S GONNA KILL YA!!!;อย่าหนี ไม่งั้นพ่อจะฆ่าแก!!!
MCAE000BU;Butcher;Here bunny, bunny, bunny!;มานี่ กระต่าย กระต่าย กระต่าย!
MCAE002BU;Butcher;I'm not gonna hurt you!;ฉันไม่ทำร้ายแกหรอก!
MCAE003BU;Butcher;COME HERE BUNNY!;มานี่สิ กระต่าย!
MCAE004BU;Butcher;Don't run or else Daddy's gonna kill ya!;อย่าหนี ไม่งั้นพ่อจะฆ่าแก!
MCAE008BU;Butcher;Ah-ha-ha-ha!;อาฮ่าๆๆๆ!
