id;character;origin_dialogue;translated_dialogue
CAQZ037CH;Chloe;Ooof!;โอ๊ย!
CAQZ038CH;Chloe;Ak!;อั๊ก!
CAQZ039CH;Chloe;Ug!;อึ๊ก!
CAQZ040CH;Chloe;Ay!;อ๊ะ!
CAQZ041CH;Chloe;Ow!;โอ๊ย!
MIDD001DN;Female-Dancer;Wooo!;วู้!
MIDD002DN;Female-Dancer;Hoo hoo!;ฮู ฮู!
MIDD003DN;Female-Dancer;Yeah, baby!;เย้ ที่รัก!
MIDD004DN;Female-Dancer;What's up?;ว่าไงจ๊ะ?
MIDD005DN;Female-Dancer;Come on! Dance, baby!;มาเลย! เต้นสิ ที่รัก!
MIDD006DN;Female-Dancer;Alright...;เอาล่ะ...
MIDD008DN;Female-Dancer;Hey!;เฮ้!
MIDD010DN;Female-Dancer;Jerk!;ไอ้บ้า!
MIDD011DN;Female-Dancer;Total buzzkill.;หมดสนุกเลย
MIDD012DN;Female-Dancer;Man, the bouncers here suck.;ให้ตายสิ คนคุมประตูที่นี่ห่วยแตก
MIDD013DN;Female-Dancer;Hey, this ain't the mosh pit, frat boy!;เฮ้ นี่มันไม่ใช่เวทีสาดโคลนนะ ไอ้หนุ่ม!
MIDD014DN;Female-Dancer;Oh no you DIDN'T just try to touch me while I'm dancing.;ไม่นะ! นายอย่าคิดนะว่าจะมาแตะตัวฉันตอนที่ฉันกำลังเต้นอยู่!
MIDD015DN;Female-Dancer;I know you didn't just do that.;ฉันรู้ว่านายไม่ได้ตั้งใจจะทำแบบนั้น
MIDD016DN;Female-Dancer;My advice to you is back up about ten feet, right now.;คำแนะนำของฉันคือ ถอยออกไปสัก 10 ฟุต เดี๋ยวนี้!
MIDD017DN;Female-Dancer;I am not responsible for what's about to happen otherwise.;ไม่งั้นอย่าหาว่าฉันไม่เตือน!
MIDD018DN;Female-Dancer;Hey, what are you doing? I was in the middle of something serious there.;เฮ้ นี่นายทำอะไรเนี่ย? ฉันกำลังทำอะไรที่มันสำคัญอยู่นะ!
MIDD019DN;Female-Dancer;Hey, if I want to fly, I'll fly.;เฮ้ ถ้าฉันอยากจะบิน ฉันก็บินเองได้!
MIDD020DN;Female-Dancer;I don't need any help.;ฉันไม่ต้องการความช่วยเหลือจากใคร
MIDD021DN;Female-Dancer;Hey, thanks. I did NOT want to dance with that... whatever that was.;เฮ้ ขอบใจนะ ฉันไม่อยากเต้นกับ...อะไรก็ไม่รู้นั่นจริง ๆ
MIDD022DN;Female-Dancer;Ahhh! What was that?;อ๊าก! นั่นมันอะไรน่ะ?
MIDD023DN;Female-Dancer;Huh?;หือ?
MIDD024DN;Female-Dancer;Aaaiiiiieeeeee!;กรี๊ดดดดด!
MIDD026DN;Female-Dancer;Ah! Wha--;อ๊ะ! อะไร--
MIDD027DN;Female-Dancer;Wahhhh!;ว้ากกก!
MINO002MI;Milla;Let's go!;ไปกันเลย!
MINO003MI;Milla;Bounce baby!;กระโดดเลยจ้ะ!
MINO004MI;Milla;Up! Up! Up!;ขึ้น! ขึ้น! ขึ้น!
MINO005MI;Milla;Come on, darling!;มาเลยจ้ะ ที่รัก!
MINO006MI;Milla;I think this party is going pretty well.;ฉันว่าปาร์ตี้นี้กำลังไปได้สวยเลยนะ
MINO007MI;Milla;I wonder if everybody's having fun.;ไม่รู้ว่าทุกคนสนุกกันรึเปล่านะ
MINO008MI;Milla;Oh I love this part!;โอ๊ย! ฉันชอบท่อนนี้จัง!
MINO009MI;Milla;Turn it up!;เปิดดัง ๆ เลย!
MINO010MI;Milla;Yeah!;เย้!
MINO011MI;Milla;Woo-hoo!;วู้ฮู!
MINO012MI;Milla;Mmmm-hmmm.;อืมฮืม
MINO013MI;Milla;Chh-ch-ch-ch ch ch ch...;ชึ้ก ชึ้ก ชึ้ก ชึ้ก ชึ้ก ชึ้ก ชึ้ก...
MINO015MI;Milla;Smile everyone!;ยิ้มหน่อยทุกคน!
MINO016MI;Milla;I hope the kids are having a good time.;ฉันหวังว่าเด็ก ๆ จะสนุกกันนะ
MINO017MI;Milla;Mmm... onion dip!;อืม... อร่อยจัง!
MINO018MI;Milla;It's so nice to be working with children again.;ดีจังที่ได้กลับมาทำงานกับเด็ก ๆ อีกครั้ง
MINO019MI;Milla;Oh how I love the little children.;โอ้ ฉันรักเด็ก ๆ จังเลย
MINO020MI;Milla;Look at the little angels.;ดูสิ นางฟ้าตัวน้อย
MINO021MI;Milla;So sweet.;น่ารักจริง ๆ
MINO022MI;Milla;Nice.;ดีมาก
MINO023MI;Milla;Mmmm.;อืมมม
MINO024MI;Milla;Keep it loose, kids.;เต้นให้สบาย ๆ นะ เด็ก ๆ
MINO025MI;Milla;You're doing great!;ทำได้ดีมาก!
MINO026MI;Milla;Oh, you're such great dancer, baby!;โอ้ เต้นเก่งจังเลย ที่รัก!
MINO027MI;Milla;Let's see those happy faces, kids!;ขอเห็นหน้ายิ้ม ๆ หน่อย เด็ก ๆ!
MINO028MI;Milla;Ahhh.;อ๊าาา
MINO029MI;Milla;Sasha...;ซาช่า...
