id;character;origin_dialogue;translated_dialogue
ASBR001BO;Boyd;...the Milkman...;...คนส่งนม...
ASBR002BO;Boyd;...those little green cops...;...พวกตำรวจตัวเขียวๆ นั่น...
ASBR003BO;Boyd;...the military-industrial complex...;...กลุ่มทุนนิยมอุตสาหกรรมทหาร...
ASBR004BO;Boyd;...the suits...;...พวกสูท...
ASBR005BO;Boyd;...the analyticals, man...;...พวกนักวิเคราะห์...
ASBR006BO;Boyd;...those Bermuda Triangle sharks;...ฉลามสามเหลี่ยมเบอร์มิวดาพวกนั้น...
ASBR007BO;Boyd;...all them haters...;...พวกเกลียดชังทั้งหมดนั่น...
ASBR008BO;Boyd;...Hernando...;...เฮอร์นันโด...
ASBR009BO;Boyd;...that little fat kid with the bunny...;...เด็กอ้วนๆ ที่มีตุ๊กตากระต่าย...
ASBR010BO;Boyd;...the doctors back at the clinic...;...พวกหมอที่คลินิก...
ASBR011BO;Boyd;...the pelicans...;...พวกนกกระทุง...
ASBR012BO;Boyd;...the squirrels...;...พวกกระรอก...
ASBR013BO;Boyd;...the manager of that boy band...;...ผู้จัดการวงบอยแบนด์วงนั้น...
ASBR014BO;Boyd;...those eggheads in their ivory tower...;...พวกหัวไข่ในหอคอยงาช้าง...
ASBR015BO;Boyd;...that guy with the eye patch...;...ไอ้หมอนั่นที่ใส่ที่ปิดตา...
ASBR016BO;Boyd;...the psychowhatsits...;...พวกพลังจิตอะไรนั่น...
ASBR017BO;Boyd;...the freaky hunchback girl who loves brains so much...;...ยัยหลังค่อมประหลาดที่ชอบกินสมอง...
ASBR018BO;Boyd;...the dairy industry...;...อุตสาหกรรมนม...
ASBR019BO;Boyd;...the kid with the goggles...;...เด็กที่ใส่แว่นกันลม...
ASBR020BO;Boyd;...the dog track regulators...;...พวกควบคุมสนามแข่งสุนัข...
ASBR021BO;Boyd;...the tuna canneries...;...โรงงานปลากระป๋อง...
ASBR022BO;Boyd;...the national park system...;...ระบบอุทยานแห่งชาติ...
ASBR023BO;Boyd;...big oil...;...บริษัทน้ำมันยักษ์ใหญ่...
ASBR024BO;Boyd;...organized labor...;...สหภาพแรงงาน...
ASBR025BO;Boyd;...the rodeo clown cartel...;...กลุ่มตัวตลกโรดิโอ...
ASBR026BO;Boyd;...the media...;...สื่อ...
ASBR027BO;Boyd;...the cows...;...พวกวัว...
ASBR028BO;Boyd;...foreign toy makers...;...ผู้ผลิตของเล่นต่างชาติ...
ASBR030BO;Boyd;...the intelligencia...;...พวกปัญญาชน...
ASBR031BO;Boyd;...the fluoride producers;...ผู้ผลิตฟลูออไรด์...
ASBR032BO;Boyd;...a secret doomsday cult...;...ลัทธิวันสิ้นโลก...
ASBR033BO;Boyd;...the president's brother...;...น้องชายประธานาธิบดี...
ASBR034BO;Boyd;...my first cat Seymour...;...แมวตัวแรกของฉัน ซีมัวร์...
ASBR035BO;Boyd;...one of my nostril hairs...;...ขนจมูกของฉันเส้นหนึ่ง...
ASBR036BO;Boyd;...the intelligence community...;...หน่วยข่าวกรอง...
ASBR037BO;Boyd;...the five richest families in the country...;...ห้าตระกูลที่รวยที่สุดในประเทศ...
ASBR038BO;Boyd;...all those stupid crows...;...พวกอีกาโง่ๆ นั่น...
ASBR039BO;Boyd;...some sort of power, you know...;...พลังอำนาจอะไรสักอย่างน่ะ...
ASBR040BO;Boyd;...and...;...และ...
ASBR041BO;Boyd;...or else, maybe...;...หรือไม่งั้น อาจจะ...
ASBR042BO;Boyd;...no, no, wait. I mean...;...ไม่ๆ เดี๋ยวก่อน ฉันหมายถึง...
ASBR043BO;Boyd;...in conjunction with...;...ร่วมกับ...
ASBR044BO;Boyd;...with the full blessing of...;...ด้วยพรจาก...
ASBR045BO;Boyd;...with the backing of...;...ด้วยการสนับสนุนจาก...
ASBR046BO;Boyd;...who are merely the pawns of...;...ที่เป็นแค่เบี้ยของ...
ASBR047BO;Boyd;...who are the puppet masters of...;...ที่เป็นผู้ชักใยของ...
ASBR048BO;Boyd;...went to the prom with...;...ไปงานพรอมกับ...
ASBR049BO;Boyd;...ate a whole jar of olives with...;...กินมะกอกทั้งกระปุกกับ...
ASBR050BO;Boyd;...are working for...;...กำลังทำงานให้...
ASBR051BO;Boyd;...are telling my location to...;...กำลังบอกตำแหน่งของฉันให้...
ASBR052BO;Boyd;...made a deal back in '68 with...;...ทำข้อตกลงไว้เมื่อปี 68 กับ...
ASBR053BO;Boyd;...sold their soul to...;...ขายวิญญาณให้...
ASBR054BO;Boyd;...are controlled by...;...ถูกควบคุมโดย...
ASBR055BO;Boyd;...bought votes to protect...;...ซื้อเสียงเพื่อปกป้อง...
ASBR056BO;Boyd;...are doing the dirty work of...;...กำลังทำงานสกปรกให้...
ASBR057BO;Boyd;...got in bed with...;...ขึ้นเตียงกับ...
ASBR058BO;Boyd;...signed a secret treaty with...;...ลงนามสนธิสัญญาลับกับ...
ASBR059BO;Boyd;...has been officially linked with...;...เชื่อมโยงอย่างเป็นทางการกับ...
ASBR060BO;Boyd;...know the truth.;...รู้ความจริง
ASBR061BO;Boyd;...won't stop visiting me.;...ไม่ยอมหยุดมาหาฉัน
ASBR062BO;Boyd;...keep sparring with me.;...คอยแต่จะชกมวยกับฉัน
ASBR063BO;Boyd;...have been spitting on me all day.;...ถ่มน้ำลายใส่ฉันทั้งวัน
ASBR064BO;Boyd;...do this horrible thing, but in conjunction with who? Or whom?;...ทำเรื่องแย่ๆ นี่ แต่ร่วมมือกับใคร? หรือผู้ใด?
ASBR065BO;Boyd;...are crawling all over my skin.;...คลานยั้วเยี้ยอยู่บนผิวหนังฉัน
ASBR066BO;Boyd;...bit me all night so I couldn't sleep.;...กัดฉันทั้งคืนจนนอนไม่หลับ
ASBR067BO;Boyd;...have everyone fooled.;...หลอกทุกคนได้หมด
ASBR068BO;Boyd;...were digging away at the plastics.;...ขุดคุ้ยพลาสติกพวกนั้น
ASBR069BO;Boyd;...were dialing in through the optics.;...กำลังหมุนหาคลื่นผ่านเลนส์
ASBR070BO;Boyd;...stole my theories and reprinted them incorrectly, to discredit them.;...ขโมยทฤษฎีฉันไป แล้วพิมพ์ใหม่แบบผิดๆ เพื่อทำลายความน่าเชื่อถือ
ASBR071BO;Boyd;...are not to be trusted.;...ไว้ใจไม่ได้
ASBR072BO;Boyd;...have been living off the teat of the dairy industry.;...หากินกับอุตสาหกรรมนม
ASBR073BO;Boyd;...have been fixing oil prices...;...กำหนดราคาน้ำมัน...
