id;character;origin_dialogue;translated_dialogue
NICE001RA;Raz;Uh... Sasha?;เอ่อ... ซาช่า?
NICE002SA;Sasha;What is it? Another bunny?;อะไรเหรอ? กระต่ายอีกตัวเหรอ?
NICE003RA;Raz;No, this is more of a super scary, flaming-eyed demon kind of deal.;เปล่า มันน่ากลัวโครต ๆ เหมือนปีศาจที่มีตาเรืองแสงอะไรแบบนั้น
NICE004SA;Sasha;Oh. Hmmm.;โอ้ ฮืมมม
NICE005RA;Raz;What?;อะไร?
NICE006SA;Sasha;Okay, I'm pulling you out of there. Just give me a second.;โอเค ฉันจะดึงเธอออกมา ขอเวลาสักครู่
NICE007RA;Raz;Uh, Sasha?;เอ่อ ซาช่า?
NICE008SA;Sasha;Hold on. I'm still getting some unusual interference. It's fascinating, as if someone else were--;เดี๋ยวก่อน ฉันยังเจอการรบกวนผิดปกติ ช่างน่าสนใจ ราวกับมีใครบางคนอยู่-- 
NICE009RA;Raz;Agent Nein?;สายลับไนน์?
NICE010SA;Sasha;Sorry. Almost ready--;โทษที ใกล้แล้ว--
NICE011RA;Raz;SASHA!;ซาช่า!
NID1001DO;Dogen;Aaaaaaaa!;อ้าาาาาาาา!
NID1002LO;Dr.Loboto;Why are you screaming?;นายจะร้องทำไม?
NID1003LO;Dr.Loboto;Oh right! I remember!;อ๋อ ใช่! ฉันจำได้ละ!
NID1004DO;Dogen;Wahhhhhhhh-a ha ha ha!;Wahhhhhhhh-a ha ha ha!
NID1005DO;Dogen;(giggle giggle);(หัวเราะ หัวเราะ)
NID1006DO;Dogen;A-CHOOO!;ฮัดชิ่ว!
NID1007LO;Dr.Loboto;Oh, good boy. There's that pesky brain.;โอ้ เด็กดี สมองน่าเกลียดน่าชัง
NID1008LO;Dr.Loboto;Here's a tissue.;นี่ทิชชู่
NID1009LO;Dr.Loboto;Now, don't you feel better, my dear lad?;เอาล่ะ ดีขึ้นไหม เจ้าตัวน้อยที่รัก?
NID1010DO;Dogen;TV?;ทีวี?
NID1011LO;Dr.Loboto;Of course! Right here!;แน่นอน! อยู่นี่ไง!
NID1012LO;Dr.Loboto;And this BAD tooth, we just drop it in the old garbage chute!;และ "ฟันผุ" นี่ เราแค่ทิ้งมันลงปล่องทิ้งขยะเก่าไปซะ!
NID1013LO;Dr.Loboto;Now, don't chew solid foods for six hours!;เอาล่ะ อย่าเคี้ยวอาหารแข็ง ๆ สัก 6 ชั่วโมงนะ!
NID1014RA;Raz;Lili!;ลิลี่!
NID1015DO;Dogen;TV!;ทีวี!
NID2001LO;Dr.Loboto;Little boy, I am sorry to say that you have a very serious mental problem. The trouble originates in this area here, the area that we in the medical profession like to refer to as�;เด็กน้อย ฉันเสียใจที่จะบอกว่านายมีปัญหาทางจิตที่ร้ายแรงมาก ปัญหามันเริ่มมาจากตรงนี้ บริเวณที่พวกเราในวงการแพทย์เรียกว่า...
NID2002LO;Dr.Loboto;�the brain. You see, son, it's just no good!;...สมอง เธอเห็นไหม หนู มันไม่ดีเลย!
NID2003LO;Dr.Loboto;I hate to be so blunt, but YOU have the insanity... of a manatee!;ฉันเกลียดที่จะต้องพูดตรงๆ แต่ "เธอ" มีความบ้าคลั่ง... เหมือนแมนาที!
NID2004DO;Dogen;I know! People are always saying that! What do you think's wrong with my brain, Doctor?;ผมรู้! คนอื่นๆ ก็บอกแบบนั้นตลอด! คุณคิดว่าสมองของผมเป็นอะไรไปหรือเปล่า หมอ?
NID2005LO;Dr.Loboto;How should I know? I'm a dentist! But here's what I do know: if a tooth is bad, you pull it!;ฉันจะไปรู้ได้ยังไง? ฉันเป็นหมอฟัน! แต่สิ่งที่ฉันรู้ก็คือ: ถ้าฟันมันผุ ก็ต้องถอนมันออก!
NID2006DO;Dogen;But my teeth are fine!;แต่ฟันผมไม่ผุนะ!
NID2007LO;Dr.Loboto;Yup! That brain's got to come out, boy. It's the quickest way to cure what you've got: INSANITY OF THE MIND!;ใช่แล้ว! สมองนั่นต้องเอาออก ไอ้หนู มันเป็นวิธีที่เร็วที่สุดในการรักษาสิ่งที่เธอเป็น: ความบ้าคลั่งในจิตใจ!
NID2008DO;Dogen;But, I don't wanna--;แต่ ผมไม่อยาก--
NID2009LO;Dr.Loboto;Shush-shush-shush-shush-shushie! Now hold still. This will only hurt until your brains come flying out!;ชู่ๆๆๆๆ อยู่นิ่งๆ นะ นี่จะเจ็บแค่ตอนที่สมองเธอหลุดออกมาเท่านั้นแหละ!
NID2010DO;Dogen;Ahh! Ahh! Get back! HELP!;อาห์! อาห์! ถอยไปนะ! ช่วยด้วย!
NID2011LO;Dr.Loboto;Oh, please. Be serious.;โอ้ ได้โปรด จริงจังหน่อย
NID2012DO;Dogen;Heeeeeeeelp!;ช่วยด้วยยยยยย!
NIEN001RA;Raz;Is this a nightmare... or a plan?;นี่มันฝันร้ายเหรอ... หรือเป็นแผนการ?
NIEN002RA;Raz;Or both?;หรือเป็นทั้งคู่?
NIEN003RA;Raz;Wait a minute!;เดี๋ยวนะ!
