id;character;origin_dialogue;translated_dialogue
SACO001RA;Raz;Oh, yeah. Come to poppa!;โอ้ เยี่ยม มาหาป๊ะป๋ามา!
SACO002SA;Sasha;Raz, what have you done? This is not control! This is chaos!;แรซ เธอทำอะไรลงไป? นี่มันเกินควบคุมแล้ว! นี่มันคือความวุ่นวาย!
SACO003SA;Sasha;I'll try to fix it. You stay here and keep their numbers under control.;ฉันจะพยายามแก้ไขมัน ส่วนนายอยู่นี่และลดจำนวนพวกมันลงให้อยู่ภายใต้การควบคุมซะ
SAFB004SA;Sasha;This is a censor.;เจ้านี่คือ Censor
SAIN001SA;Sasha;Welcome to my mind.;ยินดีต้อนรับสู่จิตใจของฉัน
SAIN002RA;Raz;Huh. It's so empty.;หืม ว่างเปล่า
SAIN003RA;Raz;Uh, I mean--;เอ่อ ผมหมายถึง--
SAIN004SA;Sasha;There's more here than meets the eye, but I've learned to keep it under strict control.;มีอะไรมากกว่าที่ตาเห็น แต่ฉันเรียนรู้ที่จะควบคุมมันไว้อย่างเข้มงวด
SAIN005SA;Sasha;And that's what I'm going to teach you: control.;และนั่นคือสิ่งที่ฉันจะสอนเธอ: "การควบคุม"
SAIN006SA;Sasha;Your feelings, your fears, your anger. You must learn to control them, focus them, concentrate them, and release them.;ความรู้สึก ความกลัว ความโกรธ เธอต้องเรียนรู้ที่จะควบคุมมัน มุ่งความสนใจไปที่มัน รวมมันเข้าด้วยกัน และปล่อยมันออกมา
SAIN007RA;Raz;As therapy?;เป็นการบำบัดเหรอ?
SAIN008SA;Sasha;No, as firepower!;ไม่ใช่ เป็นอาวุธ!
SAIN009SA;Sasha;Say something hideous and horrible jumps out at you. Something so disgusting that it simply must die.;สมมติว่ามีอะไรที่น่าเกลียดน่ากลัว กระโดดออกมาใส่เธอ อะไรที่น่าขยะแขยงจนต้องกำจัดมันให้สิ้นซาก
SAIN010SA;Sasha;Ahhh, oh, so tacky... I� can't... look... directly at it!;โอ้ ไร้รสนิยมสิ้นดี! มอง... ตรงๆ... ไม่ได้เลย!
SAIN011SA;Sasha;But I control those feelings, focus them, concentrate, and�;แต่ฉันควบคุมความรู้สึกเหล่านั้น มุ่งความสนใจไปที่มัน รวมพลัง และ...
SAIN012SA;Sasha;�release!;ปลดปล่อย!
SAIN013SA;Sasha;And the world is a better place.;และโลกก็ดีขึ้นกว่าเดิม
SAIN014SA;Sasha;Your turn.;ตาเธอแล้ว
SAIN015RA;Raz;Okay...;Okay...
SAIN016RA;Raz;Hggfgg!  Gahhh!;Hggfgg!  Gahhh!
SAIN017SA;Sasha;Excellent. A victory for good taste.;ยอดเยี่ยม ชัยชนะแห่งความมีระดับ
SAIN018SA;Sasha;Now, you must strive for precision when targeting. Say you were set upon by multiple attackers.;ทีนี้ เธอต้องเล็งเป้าเพื่อเพิ่มความแม่นยำกับเป้าหมาย สมมุติว่าเธอถูกโจมตีโดยศัตรูหลาย ๆ คน
SAIN019SA;Sasha;Eh.;Eh.
SAIN020SA;Sasha;Yecch.;Yecch.
SAIN021SA;Sasha;Bleh.;Bleh.
SAIN022SA;Sasha;But you need to dispense with them in a certain order. Eliminate these monsters in the proper sequence and we can move on to the next lesson.;แต่เธอต้องจัดการตามลำดับที่แน่นอน กำจัดสัตว์ประหลาดเหล่านี้ตามลำดับที่เหมาะสมแล้วเราจะเข้าสู่บทเรียนต่อไปกัน
SAMC001SA;Sasha;Young man, I hope you've learned a lesson here today.;หนุ่มน้อย ฉันหวังว่าวันนี้เธอจะได้รับบทเรียนนะ
SAMC002RA;Raz;Yes I have.;ครับใช่เลย
SAMC003RA;Raz;That shooting things is fun and useful.;การยิงอะไรก็ตามมันทั้งสนุกและมีประโยชน์ชะมัด
SAMC004SA;Sasha;No, that once you lose control of your own mind, it's very hard to get it back!;ไม่ เมื่อเธอเสียการควบคุมจิตใจของตัวเอง เป็นเรื่องยากมากที่จะกู้คืนมันกลับมา!
SAMC005RA;Raz;Yes. One's thoughts must be 100% controlled at all times!;ครับ ต้องควบคุมความคิดของตัวเองให้ได้ 100% ตลอดเวลา!
SAMC006SA;Sasha;Well, no. Actually, if you try to completely suppress your undesirable feelings, they'll build and build and eventually explode.;เอ่อ ไม่เชิง อันที่จริงถ้าเธอพยายามระงับความรู้สึกที่ไม่ดีของเธอเอาไว้ ความรู้สึกเหล่านั้นจะเพิ่มพูนขึ้นเรื่อยๆ และในที่สุดก็จะระเบิดออกมา
SAMC007RA;Raz;Oh. So, uh, what would happen if you were to, say, completely block off all your censor outlets?;โอ้ งั้น เอิ่ม จะเป็นยังไง ถ้าคุณดันไปปิดท่อระบาย Censor "ทั้งหมด" ล่ะ?
SAMC008SA;Sasha;Well, there would be a buildup of censor energy within, that would... uh� eventually�;อืม มันจะมีพลังงานของ Censor สะสมอยู่ภายใน แล้วก็จะ... เอ่อ ในที่สุดก็จะ...
SAMC009SA;Sasha;Run, Razputin. Very fast.;วิ่ง แรซปูติน ให้ไวเลย
SAMC010SA;Sasha;You are my own creation. I command you to stop!;แกเป็นสิ่งที่ฉันสร้างขึ้น ฉันขอสั่งให้แกหยุด!
SAMC012SA;Sasha;Ahhhhhhh!;Ahhhhhhh!
SAMC013SA;Sasha;Razputin, it's time to earn your merit badge!;แรซปูติน ถึงเวลาที่เธอจะได้รับป้ายทักษะแล้ว!
SASE001SA;Sasha;Again.;อีกรอบ
SASE002SA;Sasha;Come now. Focus.;เอาล่ะตอนนี้ ตั้งใจ
SASE003SA;Sasha;Shoot!;ยิง!
SASE004SA;Sasha;Repeat.;อีกครั้ง
SASE005SA;Sasha;What are you waiting for?;เธอรออะไรอยู่?
SASE006SA;Sasha;Let's get moving.;ขยับตัวได้แล้ว
SASE007SA;Sasha;Excellent.;ยอดเยี่ยมมาก
SASE008SA;Sasha;Control.;ควบคุม
SASE009SA;Sasha;Focus.;ตั้งมั่น
SASE010SA;Sasha;Concentrate.;สมาธิ
SASE011SA;Sasha;Release.;ปลอดปล่อย
SASE012SA;Sasha;Try it again.;ลองอีกที
SASS001SA;Sasha;Ahhhhh!;Ahhhhh!
SASS002SA;Sasha;Ach!;Ach!
SASS003SA;Sasha;Ai-ai-ai-ai-ai!;Ai-ai-ai-ai-ai!
SASS004SA;Sasha;Razputin!;แรซปูติน!
SASS005SA;Sasha;Oooh-ooh-oooh...;Oooh-ooh-oooh...
SASS006SA;Sasha;Peel me off and put me down!;ดึงฉันออกแล้ววางฉันลง!
SASS007SA;Sasha;Enough!;พอที!
SASS008SA;Sasha;Oof!;Oof!
SASS009SA;Sasha;Uggg!;Uggg!
SASS010SA;Sasha;Ow!;Ow!
SASS011SA;Sasha;Gahhhh!;Gahhhh!
