id;character;origin_dialogue;translated_dialogue
THSD001BE;Becky;No, I am not kidding! We need more flowers for the musical number! And let's pick up the pace on the lighting cues, huh?;อย่ามาล้อเล่นน่า! เราต้องการดอกไม้เพิ่มสำหรับเพลง! แล้วก็ช่วยเร่งจังหวะไฟด้วยนะ!
THSD002BE;Becky;Okay, people, let's go.  I want to see happy! Happy, happy, happy!;เอาล่ะ ทุกคน ไปกันได้แล้ว อยากเห็นความสุข! สุข สุข สุข!
THSD003BE;Becky;Hey, you!  You are not selling me happy! Don't make me come over there! I will beat it out of you if I have to!;เฮ้! นาย! นายไม่ได้ขายความสุขให้ฉันเลยนะ! อย่าให้ฉันต้องเดินไปหานะ! ฉันจะเค้นความสุขออกมาจากนายให้ได้ ถ้าจำเป็น!
THSD004BE;Becky;Finally!;ในที่สุด!
THSD005BE;Becky;Okay, the leading man is here. Somebody tell wardrobe and make-up. He's cute, but he needs a LOT of work.;โอเค พระเอกมาแล้ว บอกฝ่ายเสื้อผ้าหน้าผมด้วย เขาน่ารักนะ แต่ต้องปรับปรุงอีกเยอะ!
THSD006BE;Becky;Where were you? We have been improvising forever! Just go to your mark and be ready with your lines!;หายหัวไปไหนมาเนี่ย? พวกเราต้องด้นสดกันจนเบื่อแล้ว! ไปประจำที่แล้วเตรียมท่องบทได้เลย!
THSD007BE;Becky;I HOPE you know your lines!;ฉันหวังว่านายจะจำบทได้นะ!
THSD041BE;Becky;You'd better be right. She'd better show this time!;หวังว่านายจะพูดถูกนะ คราวนี้ขอให้หล่อนมาปรากฏตัวด้วยเถอะ!
THSD042BE;Becky;Alright, people, let's go in Five! Four! Three!;เอาล่ะทุกคน เตรียมตัว 5! 4! 3!
THSD026BE;Becky;Okay we need the sun out here, pronto! Cue the sun! Cue the sun!;โอเค เราต้องการแสงอาทิตย์เดี๋ยวนี้เลย! สั่งแสงอาทิตย์! สั่งแสงอาทิตย์!
THSD027BE;Becky;Bonita Soleil, on stage right now!;โบนิต้า โซเลล์ ขึ้นเวทีเดี๋ยวนี้!
THSD028BE;Becky;"Soleil's a no-show AGAIN. Okay, you know what that means! Time to swap plays! Strike the stage! ""Sunshine Shenanigans"" is a wrap. Let's set it up for ""The Horror of Hagatha Home"" on the double! Let's go go go!";"โซเลล์ไม่มาอีกแล้ว เอาล่ะ ทุกคนรู้ใช่ไหมว่าต้องทำไง! เปลี่ยนเรื่อง! เก็บฉาก! ""Sunshine Shenanigans"" จบเห่! เตรียมจัดฉาก ""The Horror of Hagatha Home"" ด่วน! ไปๆๆ!"
THSD029HF;Yellow-Actor;Ahhhhh!;อ๊ากกกก!
THSD030HF;Yellow-Actor;Hey, there hi there ho there, little buddy! Wwwwwwwwhat makes you want to go in a dark ol' place like that?;เฮ้ สวัสดียามเช้าเพื่อน! อะไรดลใจให้นายอยากเข้าไปในที่มืดๆ แบบนั้นกัน?
THSD031SF;Pink-Flower;There's nothing in there but a bunch of frowny-downy, mopey-dopey, sad-face memories!;ข้างในนั้นมีแต่ความทรงจำเศร้าๆ หงอยๆ ซึมๆ ทั้งนั้นแหละ!
THSD032FF;Orange-Flower;Yeah, ain't no happy place no how! You don't wanna go in there.;ใช่แล้ว ที่นั่นไม่มีความสุขเลยสักนิด! นายไม่อยากเข้าไปหรอก
THSD033HF;Yellow-Actor;What's that? You don't want to go in there? Why, that's just swell!;อะไรนะ? นายไม่อยากเข้าไปข้างในเหรอ? เยี่ยมไปเลย!
THSD034HF;Yellow-Actor;Yay!;เย้!
THSD035HF;Yellow-Actor;Hey, buddy! Don't go there! Ha ha!;เฮ้ เพื่อน! อย่าเข้าไปนะ! ฮ่าๆ!
THSD036HF;Yellow-Actor;Ha ha!;ฮ่าๆ!
THSD038HF;Yellow-Actor;No, seriously. DON'T. GO. THERE.;นี่พูดจริงจังนะ อย่า เข้า ไป!
THSD039HF;Yellow-Actor;Ha ha ha!;ฮ่าๆๆ!
THSD040HF;Yellow-Actor;HA HA!;ฮ่าๆ!
THSN001HT;Hound-Actor;Bad! Bad girls! All I see are bad girls! Especially you!;แย่! แย่มาก! เห็นแต่เด็กผู้หญิงแย่ๆ ทั้งนั้น! โดยเฉพาะเธอ!
THSN002ST;Small-Thistle;Me? But what did I do?;หนูเหรอ? หนูทำอะไรผิดเหรอคะ?
THSN003FT;Big-Thistle;You forgot yer lines stupid!;เธอลืมบทน่ะสิ ยัยโง่!
THSN004HT;Hound-Actor;Your parents paid a lot of money to send you here to Hagatha Home School for Girls!;พ่อแม่เธอจ่ายเงินเยอะแยะเพื่อส่งเธอมาเรียนที่โรงเรียนสตรีฮากาธา โฮมนี่นะ!
THSN005ST;Small-Thistle;I don't want to study theater! I don't want to study dance! I want to go home!;หนูไม่อยากเรียนการแสดง! ไม่อยากเรียนเต้น! หนูอยากกลับบ้าน!
THSN006FT;Big-Thistle;What fur? You parents don't want ya, or they wouldn'ta sent ya here, now would they! Ha ha!;กลับไปทำไม? พ่อแม่เธอคงไม่อยากได้เธอแล้ว ไม่งั้นจะส่งเธอมาที่นี่ทำไม! ฮ่าๆ!
THSN007ST;Small-Thistle;Well, then. Neither do yours!;งั้น พ่อแม่เธอก็คงเหมือนกันนั่นแหละ!
THSN008FT;Big-Thistle;She's right!;จริงด้วย!
THSN009HT;Hound-Actor;Ohhhh-oh! Oh, oh, oh. Ohhhh-ohhhhh ohhhhh! OH!;โอ้ๆๆๆ! โอ้ โอ้ โอ้ โอ้ๆๆๆๆ โอ้!
THSN010ST;Small-Thistle;Hey, you! Do you know your lines!?;นี่! นาย! จำบทได้รึเปล่าเนี่ย!?
THSN011RA;Raz;Uh...;เอ่อ...
THSN012ST;Small-Thistle;This little girl doesn't know her lines!;เด็กคนนี้จำบทไม่ได้!
THSN013FT;Big-Thistle;Get 'er!;จับตัวมัน!
