id;character;origin_dialogue;translated_dialogue
WWAB000FR;Fred;(Sigh.);(เฮ้อ...)
WWAB004FR;Fred;(Yawn.);(หาว...)
WWAB005FR;Fred;Ffffffppt. ;ฟืดดดด...
WWAB006RA;Raz;Who's winning?;ใครกำลังชนะเนี่ย?
WWAB007NP;Napoleon;Nobody's winning! Want to know who's losing? The Bonaparte family name!;ไม่มีใครชนะทั้งนั้น! อยากรู้ใครกำลังแพ้เหรอ? ตระกูลโบนApart!
WWAB008FR;Fred;Look, I forfeit, okay? You win! Napoleon Bonaparte wins again!;เอาน่า ขอยอมแพ้ละกัน? นายน่ะชนะ! นโปเลียน โบนApart ชนะอีกแล้ว!
WWAB009RA;Raz;Is that the real Napoleon Bonaparte? I mean the imaginary real Napoleon Bonaparte?;นั่นคือ นโปเลียน โบนApart ตัวจริงเหรอ? หมายถึง นโปเลียน โบนApart ตัวจริงในจินตนาการน่ะ?
WWAB010FR;Fred;Yeah, I'm actually related to him, can you believe it? ;ใช่ ฉันเป็นญาติกับเขาด้วยนะ! เชื่อไหมล่ะ?
WWAB011NP;Napoleon;Shut up! Stop telling people that shameful fact!;หุบปาก! เลิกบอกเรื่องน่าอายนั้นให้คนอื่นฟังซะที!
WWAB012NP;Napoleon;I don't even want to be here, but when this sad excuse for a Bonaparte lost a simple game of war to a feeble minded invalid, I just could not take it anymore!;ฉันไม่อยากอยู่ที่นี่ด้วยซ้ำ แต่พอไอ้ลูกหลานโบนApart ที่น่าสมเพชคนนี้แพ้เกมสงครามง่ายๆ ให้กับคนสติไม่ดี ฉันก็ทนไม่ไหวอีกต่อไปแล้ว!
WWAB013NP;Napoleon;I was forced to take control, and I will stay in control until I beat the love of victory into this degenerate swine who dares to call himself a Bonaparte!;ฉันถูกบังคับให้เข้าควบคุม และฉันจะควบคุมต่อไปจนกว่าฉันจะปลูกฝังความรักในชัยชนะให้กับไอ้หมูสกปรกที่กล้าเรียกตัวเองว่า โบนApart!
WWAB014FR;Fred;No, really, great great great grandpa Napoleon. I do love victory, like...;ไม่ จริงๆ นะ ท่านปู่ทวด นโปเลียน ฉันรักชัยชนะนะ แบบว่า...
WWAB015FR;Fred;...a ton. I love it so much. You can go now. I swear.;...มากๆ เลยอ่ะ รักมากๆ เลย ไปได้แล้ว สาบาน
WWAB016NP;Napoleon;Your move!  ;ตาเจ้าเดิน!
WWAB017RA;Raz;Who's winning now?;ตอนนี้ใครชนะ?
WWAB018FR;Fred;Who do ya think?;คิดว่าใครล่ะ?
WWAC000NP;Napoleon;Hm.;หึ่ม...
WWAC001NP;Napoleon;Hmmm.;ฮึ่มมม...
WWAC002NP;Napoleon;Hm!;หึ่ม!
WWAC003NP;Napoleon;Hm...;หึ่ม...
WWAC004NP;Napoleon;Geh!;เก๊ะ!
WWAC005NP;Napoleon;Hm-hmm.;หึ่มๆ...
WWAC006NP;Napoleon;Hah ha ha.;ฮ่าๆๆ
WWAD000RA;Raz;Hey, Fred. The problem is people think you don't care.;เฮ้ เฟร็ด ปัญหาคือคนอื่นคิดว่านายไม่สนใจอะไรเลย
WWAD004RA;Raz;They think you don't care if they live or die.;พวกเขาคิดว่านายไม่สนว่าพวกเขาจะเป็นจะตาย
WWAD007FR;Fred;Huh.;หืม?
WWAD012FR;Fred;Hey, you take that little victory if you need it, tiny man. ;เฮ้ อยากได้ชัยชนะเล็กๆ น้อยๆ นั่นก็เอาไปเถอะ ไอ้ตัวเล็ก
WWAE002RA;Raz;How about writing a check, actually? Building an army is going to cost us a little.;เขียนเช็คให้เลยเป็นไง? สร้างกองทัพมันต้องใช้เงินหน่อยนะ
WWAE006FR;Fred;I haven't really seen it since I tried to melt it down...;ฉันไม่ได้เห็นมันอีกเลยตั้งแต่ที่พยายามจะหลอมมัน...
WWAE009NP;Napoleon;Big surprise there.;ไม่แปลกใจเลย
WWAE010RA;Raz;So, where do you think that rare coin is?;แล้วคิดว่าเหรียญหายากนั่นอยู่ที่ไหน?
WWAE011FR;Fred;I don't know. I remember trying to melt it down, and burning my hands, and then running to the kitchen for some ice, and then fainting.;ไม่รู้สิ จำได้แค่ว่าพยายามจะหลอมมัน แล้วก็มือพอง เลยวิ่งไปเอาน้ำแข็งในครัว แล้วก็สลบไปเลย
WWAE013FR;Fred;Hey, you found my super valuable, rare coin!;เฮ้ นายเจอเหรียญหายากสุดมีค่าของฉันแล้ว!
WWAE014RA;Raz;Yeah. Can I have it?;ใช่ ขอนะ?
WWAF001CN;Carpenter;Go away, burglar!;ไปให้พ้นนะ ไอ้โจร!
WWAF003CN;Carpenter;Listen, I know you're a burglar. I've been listening to your footsteps on my roof all night, trying to break in. Why don't you just slide down the chimney? I got a nice fire going for you in here, Mr. Burglar!;ฟังนะ ฉันรู้นะว่านายเป็นโจร ฉันได้ยินเสียงฝีเท้านายอยู่บนหลังคาทั้งคืน พยายามจะเข้ามาทำลายข้าวของ ทำไมนายไม่สไลด์ลงมาทางปล่องไฟล่ะ? ฉันก่อไฟรอไว้อย่างดีเลยนะ คุณโจร!
WWAF005CN;Carpenter;Maybe you're a ventriloquist.;หรือว่านายเป็นนักเชิดหุ่น?
WWAF007CN;Carpenter;Maybe. ;อาจจะ
WWAF008RA;Raz;Good enough!;พอใช้ได้!
WWAF010CN;Carpenter;Well, I think you ventriloquist burglars usually walk across those ropes that are tied to my neighbor's roof. ;ฉันว่าพวกนักเชิดหุ่นที่เป็นโจร มักจะเดินข้ามเชือกที่ผูกไว้กับหลังคาเพื่อนบ้านฉันนะ
WWAF011CN;Carpenter;You know, I should really take those down with all the burglars we have walking around...;รู้ไหม ฉันควรจะเอาเชือกพวกนั้นลงมาจริงๆ นะ เพราะมีโจรเดินไปเดินมาเยอะแยะเลย...
WWAF012RA;Raz;Will you join our cause if I take care of your roof burglar?;ถ้านายจัดการไอ้โจรบนหลังคาให้ ฉันจะเข้าร่วมกับพวกเราไหม?
WWAG001P1;Peasant-1;Go away! Fred Bonaparte has forgotten the people, and we have forgotten him!;ไปให้พ้น! เฟร็ด โบนApart ลืมประชาชนไปแล้ว และพวกเราก็ลืมเขาไปแล้วเหมือนกัน!
WWAG003P1;Peasant-1;He has abandoned us! He doesn't care if we live or die!;เขาทอดทิ้งพวกเรา! เขาไม่สนว่าพวกเราจะเป็นจะตาย!
WWAG005P1;Peasant-1;I'll believe it when I hear it from him!;ฉันจะเชื่อก็ต่อเมื่อได้ยินจากปากเขา!
WWAG007P1;Peasant-1;Did you talk to Fred Bonaparte yet?;นายได้คุยกับ เฟร็ด โบนApart รึยัง?
WWAH001P2;Peasant-2;Yes!;ใช่!
